HOG	OG	Gene Tree Parent Clade	Occupancy	Acroaspis_sp_IDV6688	Acrosomoides_sp_IDV7426	Ainerigone_saitoi	Ambicodamus_IDV6680	Antrodiaetus_roretzi	Araneus_inustus	Arcuphantes_paiki	Arcuphantes_tamaensis	Arcuphantes_uenoi	Argiope_aetheroides	Argiope_bruennichi	Argiope_keyserlingi	Argyrodes_flavescens	Argyrodes_miniaceus	Backobourkia_brouni	Baryphymula_kamakuraensis	Caerostris_darwini	Caerostris_extrusa	Chrysso_octomaculata	Clubiona_robusta	Cryptachaea_gigantipes	Cyclosa_octotuberculata	Cyrtarachne_bufo	Cyrtophora_cicatrosa	Deinopis_sp_IDV6783	Deinopis_sp_IDV7365	Desis_marina	Diaea_subdola	Doenitzius_peniculus	Doenitzius_pruvus	Dolophones_sp_IDV6683	Drapetisca_socialis	Drosophila_melanogaster	Ebrechtella_tricuspidata	Eriophora_pustulosa	Falcileptoneta_japonica	Floronia_bucculenta	Gnathonarium_exsiccatum	Helpis_minitabunda	Hypselistes_asiaticus	Hypsosinga_pygmaea	Larinia_phthisica	Lariniaria_argiopiformis	Larinioides_cornutus	Latrodectus_hasseltii	Lehtinelagia_evanida	Leucauge_dromedari	Masirana_silvicola	Mesida_sp_IDV5268	Metazygia_zilloides	Metleucauge_yunohamensis	Microbathyphantes_tateyamaensis	Neoantistea_quelpartensis	Neon_minutus	Neoscona_adianta	Neoscona_nautica	Neoscona_scylla	Neoscona_subpullata	Neoscona_theisi	Neriene_clathrata	Neriene_oidedicata	Nuctenea_umbratica	Orchestina_okitsui	Ordgarius_hobsoni	Ordgarius_sexspinosus	Oxytate_striatipes	Ozyptila_nongae	Parasteatoda_culicivora	Paratheuma_awasensis	Pardosa_graminea	Pharta_brevipalpus	Phonognatha_graeffei	Phrurolithus_coreanus	Piratula_tanakai	Plebs_sachalinensis	Poecilopachys_australasia	Psechrus_IDV5238	Pseudomicrargus_latitegulatus	Rhomphaea_labiata	Robertus_nojimai	Ryojius_japonicus	Saaristoa_nipponica	Saitonia_ojiroensis	Steatoda_grossa	Stephanopis_cambridgei	Stertinius_kumadai	Syedra_oii	Tekellina_sadamotoi	Tetragnatha_brevignatha	Tetragnatha_extensa	Tetragnatha_filiciphilia	Tetragnatha_mandibulata	Tetragnatha_maxillosa	Tetragnatha_paludicola	Tetragnatha_quasimodo	Tetragnatha_stelarobusta	Tetragnatha_vermiformis	Tetragnatha_waikamoi	Tetragnatha_yesoensis	Theridion_varians	Uloborus_diversus	Ummeliata_osakaensis	Zelotes_iriomotensis
N5.HOG0033862	OG0001360	n190	31	IANO01025843.1.p1	ICOJ01029010.1.p1				IAHS01041349.1.p1				IASB01030654.1.p1	IBFJ01027010.1.p1	IAET01012705.1.p1			ICCG01032026.1.p1		ICOF01003549.1.p1	ICOE01000961.1.p1				IAQZ01008410.1.p1	ICFD01017552.1.p1, ICFD01041178.1.p1	IBHY01018258.1.p1, IBHY01040961.1.p1							IBZG01012526.1.p1				IBIK01029609.1.p1						ICEG01017150.1.p1	IAJV01018273.1.p1	IAFI01015801.1.p1	IAHZ01008367.1.p1						IBDY01010922.1.p1					IBRX01002339.1.p1	ICBF01017659.1.p1, ICBF01012065.1.p1	IAEU01016934.1.p1	IBPZ01017720.1.p1	IAXT01021019.1.p1			IAPM01015478.1.p1		IAGL01026919.1.p1	ICMU01036963.1.p1		ICBR01032214.1.p1					IATW01004140.1.p1			ICHT01015210.1.p1	ICKB01007577.1.p1																											
N5.HOG0033875	OG0001361	n96	63			IBTE01016534.1.p1	ICBW01008794.1.p1, ICBW01014281.1.p1			IAWN01029928.1.p1	IAKU01042451.1.p1	IBBK01028584.1.p1				IAFU01017717.1.p1	IBQT01031349.1.p1		IBGF01038569.1.p1			IBWR01042166.1.p1	ICJS01012639.1.p1, ICJS01012012.1.p1					IBBP01003173.1.p1		GIWQ01182290.1.p1		IBJP01017178.1.p1	IBVW01032380.1.p1		ICKS01019823.1.p1, ICKS01010956.1.p1		ICBZ01019284.1.p1, ICBZ01010196.1.p1			ICGA01006228.1.p1, ICGA01004940.1.p1	ICCR01044441.1.p1	IAUM01000891.1.p1						IBKS01002640.1.p1	IBFM01018258.1.p1, IBFM01005334.1.p1	IBHV01038695.1.p1		ICDG01017983.1.p1		IBVS01037891.1.p1	ICFH01039613.1.p1	IBHE01020602.1.p1	IAIC01002523.1.p1						IAFP01028907.1.p1							ICBR01013485.1.p1	IBTW01020097.1.p1	IARK01010026.1.p1	ICDS01042248.1.p1, ICDS01000822.1.p1	IAWA01037041.1.p1, IAWA01007571.1.p1	IATW01040068.1.p1	IBPN01012938.1.p1, IBPN01028470.1.p1	IBYA01000524.1.p1			IAQN01000745.1.p1, IAQN01026573.1.p1	IBJR01031988.1.p1, IBJR01027590.1.p1, IBJR01004570.1.p1	ICFA01007546.1.p1, ICFA01031283.1.p1	ICAL01038147.1.p1, ICAL01041625.1.p1	IBWO01006981.1.p1, IBWO01016599.1.p1	IBAR01022959.1.p1	IAHB01025583.1.p1, IAHB01042975.1.p1	IAPP01002869.1.p1	ICHM01008439.1.p1	IAUC01006997.1.p1	IAXS01002645.1.p1	IALE01010840.1.p1, IALE01041164.1.p1	GITM01006053.1.p1	IAHF01006494.1.p1, IAHF01002805.1.p1	GITN01031287.1.p1	ICFC01022615.1.p1	ICMP01014676.1.p1, ICMP01022831.1.p1	GITO01087149.1.p1	GITP01049056.1.p1	GITQ01035053.1.p1, GITQ01035051.1.p1	IAJJ01009092.1.p1	GITR01053845.1.p1	IBMZ01045615.1.p1	ICEL01030076.1.p1	jg27704.t1.p1, GJZJ01185370.1.p1	IBXZ01038284.1.p1	IAHP01041967.1.p1
N5.HOG0033890	OG0001362	n29	37														IBQT01009442.1.p1			ICOF01036274.1.p1	ICOE01018042.1.p2	IBWR01000938.1.p1		IBTR01016197.1.p1		ICFD01031140.1.p1	IBHY01000563.1.p1	IBBP01010235.1.p1		GIWQ01370003.1.p1				IBZG01038150.1.p1								IAUM01004898.1.p2, IAUM01007578.1.p2		ICEG01033214.1.p1			IAHZ01013199.1.p1	IBKS01033933.1.p1	IBFM01003007.1.p1			ICDG01020556.1.p1	IBDY01042423.1.p1	IBVS01042562.1.p1	ICFH01010097.1.p1							IAXT01008593.1.p1			IAPM01031723.1.p1					ICBR01035398.1.p2, ICBR01004693.1.p2					IATW01025551.1.p1		IBYA01025029.1.p1			IAQN01029366.1.p1		ICFA01025172.1.p1					IAPP01025075.1.p1	ICHM01034836.1.p1	IAUC01024448.1.p1		IALE01013615.1.p1			GITN01028274.1.p1		ICMP01009640.1.p1		GITP01049400.1.p1		IAJJ01021321.1.p1			ICEL01033105.1.p1	GJZJ01080453.1.p1		IAHP01021846.1.p1
N5.HOG0033891	OG0001362	n67	35	IANO01029404.1.p1			ICBW01033273.1.p2		IAHS01017771.1.p1					IBFJ01003952.1.p1	IAET01021326.1.p1	IAFU01003780.1.p1	IBQT01009844.1.p1	ICCG01034352.1.p1			ICOE01025817.1.p1		ICJS01023447.1.p1				IBHY01036949.1.p1, IBHY01003544.1.p1		ICOI01034147.1.p1	GIWQ01105683.1.p1					ICKS01015493.1.p1			IBIK01010358.1.p1, IBIK01024608.1.p1		ICGA01002941.1.p1	ICCR01036575.1.p1		IAOT01034776.1.p1		IAJV01011823.1.p1		IAHZ01031532.1.p1, IAHZ01018317.1.p1		IBFM01002885.1.p1	IBHV01006027.1.p1									ICBF01038052.1.p1	IAEU01001335.1.p1, IAEU01028660.1.p1		IAXT01031492.1.p1, IAXT01002769.1.p1					IAGL01027769.1.p1	ICMU01032255.1.p1				IARK01028742.1.p1	ICDS01004678.1.p1			IBPN01045077.1.p1			ICKB01037937.1.p1, ICKB01000400.1.p1					IBWO01016878.1.p1					IAUC01040587.1.p1						ICFC01003861.1.p1							IBMZ01034523.1.p1				
N5.HOG0033894	OG0001362	n114	53	IANO01018796.1.p1, IANO01000433.1.p1		IBTE01046563.1.p1, IBTE01004834.1.p1, IBTE01049060.1.p1, IBTE01049060.1.p2, IBTE01004834.1.p2			IAHS01018414.1.p1	IAWN01002975.1.p1, IAWN01025700.1.p1	IAKU01035106.1.p1, IAKU01017397.1.p1, IAKU01040971.1.p1	IBBK01022623.1.p1, IBBK01021757.1.p1	IASB01015332.1.p1, IASB01002207.1.p1	IBFJ01031290.1.p1	IAET01020811.1.p1			ICCG01010570.1.p1	IBGF01027710.1.p1, IBGF01031542.1.p1	ICOF01029945.1.p1	ICOE01002333.1.p1				IAQZ01017680.1.p1	ICFD01039521.1.p1	IBHY01010697.1.p1, IBHY01014018.1.p1					IBJP01024529.1.p1, IBJP01001493.1.p1, IBJP01010373.1.p1	IBVW01020986.1.p1, IBVW01023038.1.p1	IBZG01007925.1.p1	ICKS01042664.1.p1			IBIK01008413.1.p1, IBIK01013203.1.p1		ICGA01025590.1.p1, ICGA01006718.1.p1	ICCR01025332.1.p1		IAOT01037006.1.p2, IAOT01037006.1.p1	ICEG01010587.1.p1	IAJV01037720.1.p1, IAJV01008754.1.p1	IAFI01011841.1.p1, IAFI01030381.1.p1				IBHV01036958.1.p1, IBHV01022534.1.p1		ICDG01027184.1.p1	IBDY01023805.1.p1	IBVS01016298.1.p1	ICFH01005476.1.p1				ICBF01029352.1.p1	IAEU01015737.1.p1			IAFP01023806.1.p1, IAFP01021593.1.p1		IAPM01010256.1.p1		IAGL01025193.1.p1	ICMU01022118.1.p1, ICMU01022118.1.p2							IATW01038504.1.p1				ICKB01028344.1.p1					IBWO01016766.1.p1, IBWO01018580.1.p1	IBAR01026325.1.p1, IBAR01017781.1.p1	IAHB01023513.1.p1, IAHB01039365.1.p1				IAXS01030441.1.p1, IAXS01022689.1.p1		GITM01082116.1.p1, GITM01082112.1.p1		GITN01070361.1.p1		ICMP01040645.1.p1	GITO01055098.1.p1, GITO01055099.1.p1, GITO01055090.1.p1, GITO01055092.1.p1, GITO01055095.1.p1, GITO01055089.1.p1, GITO01055091.1.p1, GITO01055097.1.p1	GITP01012623.1.p1	GITQ01102832.1.p1, GITQ01102813.1.p1	IAJJ01004449.1.p1	GITR01031302.1.p1, GITR01031301.1.p1				IBXZ01047473.1.p1	
N5.HOG0033895	OG0001362	n203	34				ICBW01033273.1.p1																ICJS01001554.1.p1	IBTR01032902.1.p2				IBBP01002362.1.p1	ICOI01001732.1.p1	GIWQ01094999.1.p1, GIWQ01336005.1.p1, GIWQ01099340.1.p1		IBJP01001493.1.p2										IAUM01004898.1.p1, IAUM01007578.1.p1			IAJV01008754.1.p2	IAFI01017345.1.p1			IBFM01029611.1.p1			ICDG01006897.1.p1								IAEU01016993.1.p1								ICMU01039351.1.p1	IALM01025954.1.p1			IARK01033408.1.p1	ICDS01017238.1.p1	IAWA01028641.1.p1		IBPN01041256.1.p1, IBPN01007237.1.p1	IBYA01005480.1.p1			IAQN01015109.1.p1	IBJR01032714.1.p1	ICFA01027376.1.p1	ICAL01038902.1.p1			IAHB01008835.1.p1		ICHM01026758.1.p1	IAUC01046600.1.p1	IAXS01004976.1.p1	IALE01004182.1.p1			GITN01070361.1.p2			GITO01055093.1.p1, GITO01055101.1.p1				GITR01031303.1.p1				IBXZ01004923.1.p1	IAHP01041044.1.p1
N5.HOG0033896	OG0001363	n7	58							IAWN01036673.1.p1						IAFU01015674.1.p1	IBQT01018981.1.p1					IBWR01029800.1.p1	ICJS01045310.1.p1	IBTR01017834.1.p1, IBTR01018565.1.p1, IBTR01009488.1.p1	IAQZ01011490.1.p1		IBHY01040170.1.p2			GIWQ01064796.1.p1, GIWQ01056723.1.p2, GIWQ01189842.1.p1, GIWQ01049027.1.p1, GIWQ01056722.1.p3, GIWQ01137838.1.p1, GIWQ01049028.1.p2	ICGF01001830.1.p1		IBVW01017257.1.p1		ICKS01030723.1.p1, ICKS01034589.1.p1		ICBZ01011421.1.p2			ICGA01022011.1.p1		IAUM01046458.1.p2	IAOT01024392.1.p1		IAJV01019334.1.p2	IAFI01026188.1.p2	IAHZ01025842.1.p1	IBKS01004203.1.p1		IBHV01037821.1.p3		ICDG01034229.1.p1			ICFH01023424.1.p2	IBHE01039909.1.p2, IBHE01032123.1.p1, IBHE01014218.1.p1	IAIC01018334.1.p1		ICBF01005219.1.p1	IAEU01010685.1.p1	IBPZ01005797.1.p2		IAFP01009250.1.p3	IAQC01030469.1.p1, IAQC01000473.1.p1, IAQC01043473.1.p1			IAGL01013544.1.p1		IALM01036309.1.p2	ICBR01001473.1.p1	IBTW01015431.1.p1	IARK01027713.1.p2	ICDS01032326.1.p2	IAWA01040054.1.p2	IATW01014319.1.p1					IAQN01032458.1.p2, IAQN01023108.1.p2, IAQN01015908.1.p2		ICFA01037626.1.p1	ICAL01003878.1.p1	IBWO01022333.1.p1	IBAR01031638.1.p1		IAPP01038408.1.p1	ICHM01028241.1.p1	IAUC01009356.1.p2	IAXS01009134.1.p1, IAXS01015923.1.p1	IALE01027462.1.p1	GITM01095477.1.p1	IAHF01010347.1.p2	GITN01052610.1.p1	ICFC01043922.1.p1	ICMP01045245.1.p2	GITO01095759.1.p2		GITQ01073489.1.p1	IAJJ01016914.1.p2			ICEL01031231.1.p1		IBXZ01047714.1.p1	
N5.HOG0033897	OG0001363	n80	81	IANO01000498.1.p1, IANO01037842.1.p1	ICOJ01015563.1.p1	IBTE01045944.1.p1			IAHS01029200.1.p1	IAWN01036673.1.p2, IAWN01016015.1.p1	IAKU01028107.1.p1	IBBK01012552.1.p1	IASB01017440.1.p1	IBFJ01033200.1.p1, IBFJ01012714.1.p1	IAET01014801.1.p1			ICCG01007390.1.p1, ICCG01021001.1.p1	IBGF01009645.1.p1	ICOF01019771.1.p1	ICOE01003609.1.p1, ICOE01016013.1.p1	IBWR01029800.1.p2	ICJS01021033.1.p1	IBTR01017834.1.p2, IBTR01018565.1.p2	IAQZ01005817.1.p1, IAQZ01023819.1.p1	ICFD01032330.1.p1	IBHY01014687.1.p1, IBHY01040170.1.p1, IBHY01003970.1.p2	IBBP01009337.1.p1		GIWQ01049028.1.p1, GIWQ01309623.1.p1	ICGF01001830.1.p2	IBJP01024669.1.p1, IBJP01018915.1.p1	IBVW01017589.1.p2, IBVW01017589.1.p1, IBVW01008516.1.p1	IBZG01031979.1.p1, IBZG01016518.1.p1	ICKS01030723.1.p2, ICKS01034589.1.p2, ICKS01038448.1.p1		ICBZ01011421.1.p1	IBIK01038271.1.p1, IBIK01004269.1.p1, IBIK01041555.1.p1		ICGA01022011.1.p3, ICGA01008358.1.p1	ICCR01000418.1.p1		IAOT01038036.1.p1	ICEG01002540.1.p1	IAJV01008155.1.p1, IAJV01034107.1.p1	IAFI01013241.1.p1, IAFI01026188.1.p1, IAFI01008667.1.p1	IAHZ01028985.1.p1		IBFM01020383.1.p1	IBHV01005185.1.p1		ICDG01034229.1.p2, ICDG01024049.1.p1	IBDY01025963.1.p1	IBVS01033140.1.p1, IBVS01010229.1.p1	ICFH01023424.1.p1	IBHE01039909.1.p1		IBRX01039511.1.p1, IBRX01005831.1.p1	ICBF01014847.1.p1, ICBF01005219.1.p2	IAEU01007437.1.p1, IAEU01010685.1.p3	IBPZ01001438.1.p1, IBPZ01005797.1.p1	IAXT01014831.1.p1	IAFP01029376.1.p1, IAFP01009250.1.p1	IAQC01030469.1.p6, IAQC01000473.1.p2, IAQC01030469.1.p5, IAQC01043473.1.p2, IAQC01029272.1.p1, IAQC01016788.1.p1	IAPM01008030.1.p1, IAPM01043513.1.p1		IAGL01032932.1.p1, IAGL01013544.1.p2	ICMU01017064.1.p1, ICMU01039937.1.p1	IALM01036309.1.p1	ICBR01001473.1.p2		IARK01027713.1.p1, IARK01007030.1.p1		IAWA01040054.1.p1	IATW01014319.1.p2, IATW01000781.1.p1			ICHT01003714.1.p1	ICKB01037892.1.p1, ICKB01020866.1.p1	IAQN01023108.1.p1, IAQN01015908.1.p1, IAQN01032458.1.p1	IBJR01001402.1.p1		ICAL01003878.1.p3	IBWO01022333.1.p2, IBWO01005285.1.p1	IBAR01031638.1.p2, IBAR01009077.1.p1	IAHB01022767.1.p1		ICHM01044406.1.p1		IAXS01009134.1.p3, IAXS01033727.1.p1	IALE01027462.1.p3	GITM01095478.1.p1, GITM01095475.1.p1	IAHF01010347.1.p1, IAHF01007536.1.p1	GITN01052609.1.p1, GITN01052608.1.p1	ICFC01033503.1.p1, ICFC01042236.1.p1	ICMP01045245.1.p3, ICMP01040199.1.p1, ICMP01045245.1.p1	GITO01095759.1.p1, GITO01095758.1.p1, GITO01095757.1.p1	GITP01105584.1.p1, GITP01105582.1.p1	GITQ01073494.1.p1, GITQ01073501.1.p1	IAJJ01016914.1.p1, IAJJ01029548.1.p1	GITR01066911.1.p1, GITR01066910.1.p1	IBMZ01044083.1.p2, IBMZ01010847.1.p1, IBMZ01044083.1.p1			IBXZ01047714.1.p2, IBXZ01044827.1.p1	
N5.HOG0033899	OG0001364	n6	71	IANO01025115.1.p1			ICBW01001041.1.p1		IAHS01003334.1.p1				IASB01009494.1.p1	IBFJ01025604.1.p1	IAET01007755.1.p1, IAET01020749.1.p1	IAFU01033822.1.p1	IBQT01006918.1.p1	ICCG01035362.1.p1		ICOF01007769.1.p1, ICOF01032236.1.p1	ICOE01017173.1.p1	IBWR01010852.1.p1	ICJS01040937.1.p1, ICJS01015749.1.p1, ICJS01015749.1.p2	IBTR01007325.1.p1	IAQZ01022361.1.p1	ICFD01027278.1.p1, ICFD01040355.1.p1		IBBP01024533.1.p1		GIWQ01086306.1.p1, GIWQ01284810.1.p1, GIWQ01086305.1.p1, GIWQ01086303.1.p1, GIWQ01086304.1.p1	ICGF01037650.1.p1, ICGF01002685.1.p2			IBZG01020265.1.p1, IBZG01035525.1.p1			ICBZ01042701.1.p1, ICBZ01041023.1.p1	IBIK01024801.1.p1, IBIK01020774.1.p1				IAUM01031318.1.p1, IAUM01003977.1.p1			IAJV01005324.1.p1	IAFI01022307.1.p1	IAHZ01037356.1.p1, IAHZ01035127.1.p3	IBKS01018704.1.p1	IBFM01016594.1.p1, IBFM01035082.1.p1	IBHV01030401.1.p1		ICDG01013666.1.p1	IBDY01017273.1.p1	IBVS01037836.1.p1, IBVS01018506.1.p1			IAIC01032418.1.p1, IAIC01016342.1.p1, IAIC01010598.1.p1, IAIC01046740.1.p1	IBRX01009354.1.p1	ICBF01033218.1.p1, ICBF01019466.1.p1	IAEU01009500.1.p1	IBPZ01003901.1.p1	IAXT01001442.1.p1			IAPM01020827.1.p1			ICMU01040712.1.p1	IALM01050757.1.p1, IALM01034410.1.p1	ICBR01033555.1.p1, ICBR01031498.1.p1	IBTW01046989.1.p1, IBTW01047563.1.p1	IARK01020979.1.p1	ICDS01023914.1.p1, ICDS01036433.1.p1, ICDS01033612.1.p1, ICDS01033612.1.p3	IAWA01026303.1.p1, IAWA01008247.1.p1		IBPN01010939.1.p1, IBPN01031726.1.p1	IBYA01027177.1.p1, IBYA01037422.1.p1	ICHT01041051.1.p1	ICKB01008336.1.p1	IAQN01040351.1.p1, IAQN01040351.1.p2		ICFA01043930.1.p1	ICAL01026529.1.p1				IAPP01033747.1.p1	ICHM01036953.1.p1, ICHM01031002.1.p1, ICHM01041054.1.p1	IAUC01046304.1.p1		IALE01007739.1.p1, IALE01014465.1.p1	GITM01081797.1.p1	IAHF01022727.1.p1	GITN01057565.1.p1	ICFC01010066.1.p1	ICMP01038243.1.p1	GITO01067614.1.p1	GITP01048443.1.p1	GITQ01111207.1.p1	IAJJ01039256.1.p1	GITR01095730.1.p1	IBMZ01016354.1.p2, IBMZ01005074.1.p1	ICEL01032691.1.p1	jg2856.t1.p1		IAHP01003407.1.p1
N5.HOG0033901	OG0001364	n161	34	IANO01016451.1.p1, IANO01001460.1.p1, IANO01009427.1.p1	ICOJ01036770.1.p1								IASB01000280.1.p1	IBFJ01034014.1.p1	IAET01014072.1.p1	IAFU01021641.1.p1		ICCG01003356.1.p1		ICOF01000821.1.p1	ICOE01005869.1.p1				IAQZ01029594.1.p1	ICFD01018768.1.p1	IBHY01043052.1.p1	IBBP01019863.1.p1	ICOI01000963.1.p1	GIWQ01366677.1.p1, GIWQ01337237.1.p1				IBZG01030478.1.p1				IBIK01020174.1.p1						ICEG01017595.1.p1	IAJV01000209.1.p1	IAFI01037327.1.p1	IAHZ01035365.1.p1						IBDY01017126.1.p1					IBRX01024423.1.p1	ICBF01040754.1.p1		IBPZ01010417.1.p1, IBPZ01042256.1.p1	IAXT01035001.1.p2			IAPM01008694.1.p1		IAGL01018448.1.p1	ICMU01020338.1.p1										ICHT01035838.1.p1	ICKB01007299.1.p1										IAUC01027163.1.p1		IALE01021117.1.p1									IAJJ01005452.1.p1						
N5.HOG0033903	OG0001365	n0	66	IANO01002732.1.p1, IANO01032977.1.p1, IANO01028000.1.p1	ICOJ01029835.1.p1	IBTE01011912.1.p1, IBTE01040476.1.p1, IBTE01011651.1.p1, IBTE01002671.1.p1, IBTE01021632.1.p1, IBTE01038400.1.p1, IBTE01017207.1.p1, IBTE01030081.1.p1			IAHS01029658.1.p1, IAHS01008936.1.p1, IAHS01018634.1.p1	IAWN01040468.1.p1, IAWN01027359.1.p1, IAWN01023965.1.p1	IAKU01009456.1.p1, IAKU01045290.1.p1, IAKU01043404.1.p1, IAKU01006557.1.p1	IBBK01034858.1.p1, IBBK01009794.1.p1, IBBK01021065.1.p1	IASB01029706.1.p1, IASB01014655.1.p1, IASB01025159.1.p1, IASB01002450.1.p1	IBFJ01025266.1.p1, IBFJ01007283.1.p1, IBFJ01028550.1.p1	IAET01034213.1.p1, IAET01003159.1.p1, IAET01014236.1.p1		IBQT01039814.1.p1	ICCG01028576.1.p1, ICCG01011292.1.p1, ICCG01026343.1.p1, ICCG01028154.1.p1, ICCG01037754.1.p1	IBGF01032931.1.p1, IBGF01034779.1.p2, IBGF01047024.1.p1	ICOF01021119.1.p1, ICOF01019714.1.p1, ICOF01010732.1.p1, ICOF01011635.1.p1	ICOE01033227.1.p1, ICOE01037979.1.p1, ICOE01006294.1.p1, ICOE01035698.1.p1, ICOE01018241.1.p1				IAQZ01016413.1.p1, IAQZ01033553.1.p1, IAQZ01005501.1.p1, IAQZ01028362.1.p1, IAQZ01008816.1.p1, IAQZ01032746.1.p1, IAQZ01025912.1.p1, IAQZ01023611.1.p1, IAQZ01021812.1.p1, IAQZ01017977.1.p1, IAQZ01027452.1.p1	ICFD01039661.1.p1	IBHY01038278.1.p1					IBJP01034311.1.p1, IBJP01030542.1.p1	IBVW01032984.1.p1, IBVW01002134.1.p1, IBVW01015230.1.p1, IBVW01001001.1.p1, IBVW01031655.1.p1, IBVW01007798.1.p2, IBVW01029795.1.p1	IBZG01003234.1.p1, IBZG01001484.1.p1, IBZG01036725.1.p1, IBZG01015155.1.p1, IBZG01004316.1.p1				IBIK01044106.1.p1, IBIK01006416.1.p4, IBIK01044289.1.p3, IBIK01035510.1.p1, IBIK01020062.1.p1, IBIK01037328.1.p1, IBIK01007299.1.p1		ICGA01030994.1.p1, ICGA01003445.1.p1, ICGA01000609.1.p1, ICGA01002499.1.p1, ICGA01015071.1.p1	ICCR01017264.1.p1		IAOT01027140.1.p1, IAOT01022800.1.p1, IAOT01016186.1.p1, IAOT01007214.1.p1, IAOT01048679.1.p1	ICEG01047520.1.p1, ICEG01026248.1.p1	IAJV01009233.1.p1, IAJV01006683.1.p1, IAJV01039211.1.p1, IAJV01001484.1.p1	IAFI01010556.1.p1, IAFI01022350.1.p1, IAFI01030377.1.p1, IAFI01004718.1.p1	IAHZ01032127.1.p1, IAHZ01027043.1.p1, IAHZ01007218.1.p1, IAHZ01008418.1.p1, IAHZ01037772.1.p1, IAHZ01023852.1.p1, IAHZ01006175.1.p1, IAHZ01040289.1.p1, IAHZ01026123.1.p1, IAHZ01013421.1.p1, IAHZ01035841.1.p1	IBKS01003057.1.p1		IBHV01019604.1.p1, IBHV01013744.1.p1, IBHV01014162.1.p1, IBHV01030854.1.p1		ICDG01017452.1.p1, ICDG01005183.1.p1, ICDG01035571.1.p1	IBDY01000461.1.p1, IBDY01039145.1.p1, IBDY01032285.1.p1, IBDY01026803.1.p1, IBDY01020899.1.p1	IBVS01024501.1.p1, IBVS01002689.1.p1, IBVS01009889.1.p1, IBVS01028468.1.p1	ICFH01002688.1.p1, ICFH01040892.1.p1, ICFH01017135.1.p1			IBRX01035903.1.p1, IBRX01025788.1.p1	ICBF01039571.1.p1, ICBF01018602.1.p1, ICBF01017010.1.p1, ICBF01023241.1.p1	IAEU01020725.1.p1, IAEU01022361.1.p1, IAEU01018443.1.p1	IBPZ01036304.1.p1, IBPZ01013739.1.p1, IBPZ01001213.1.p1, IBPZ01001713.1.p1, IBPZ01001399.1.p1	IAXT01029128.1.p1, IAXT01035139.1.p1, IAXT01012598.1.p1, IAXT01011633.1.p1, IAXT01031511.1.p1		IAQC01042366.1.p1	IAPM01033825.1.p1, IAPM01037244.1.p1, IAPM01042266.1.p1, IAPM01013160.1.p1, IAPM01025792.1.p1, IAPM01002556.1.p1, IAPM01031635.1.p1		IAGL01038509.1.p1, IAGL01012361.1.p1	ICMU01029900.1.p1		ICBR01002268.1.p1					IATW01016240.1.p1, IATW01041691.1.p1, IATW01038017.1.p1, IATW01026180.1.p1			ICHT01038280.1.p1, ICHT01020066.1.p1, ICHT01004353.1.p1	ICKB01029453.1.p1, ICKB01001580.1.p1, ICKB01011268.1.p1		IBJR01045824.1.p1, IBJR01017350.1.p2, IBJR01045328.1.p1, IBJR01034687.1.p1			IBWO01000019.1.p1, IBWO01029198.1.p1	IBAR01016366.1.p1, IBAR01022715.1.p1	IAHB01006941.1.p1, IAHB01026662.1.p1				IAXS01028085.1.p1, IAXS01028577.1.p2, IAXS01027808.1.p2, IAXS01036144.1.p1		GITM01038245.1.p1, GITM01097339.1.p1, GITM01097340.1.p1, GITM01038243.1.p1	IAHF01027912.1.p1, IAHF01030371.1.p1, IAHF01043866.1.p1, IAHF01039694.1.p1, IAHF01023067.1.p1	GITN01069331.1.p1, GITN01011770.1.p1, GITN01011775.1.p1, GITN01047554.1.p1, GITN01047548.1.p1	ICFC01038552.1.p1	ICMP01047384.1.p1, ICMP01035465.1.p1, ICMP01026595.1.p1	GITO01010589.1.p1, GITO01010586.1.p1, GITO01095467.1.p1, GITO01095468.1.p1, GITO01015273.1.p1	GITP01101903.1.p1, GITP01101899.1.p1, GITP01081350.1.p1, GITP01081348.1.p1, GITP01101900.1.p1, GITP01101904.1.p1	GITQ01041656.1.p1, GITQ01106087.1.p1, GITQ01106090.1.p1, GITQ01016133.1.p2	IAJJ01036580.1.p1, IAJJ01015261.1.p1, IAJJ01020204.1.p1	GITR01044356.1.p1, GITR01044350.1.p1, GITR01086048.1.p1, GITR01086047.1.p1, GITR01000442.1.p1	IBMZ01041287.1.p1, IBMZ01011361.1.p1		jg38685.t1.p1, jg21688.t1.p1, GJZJ01261521.1.p1	IBXZ01025903.1.p1, IBXZ01008396.1.p1, IBXZ01042363.1.p1	
