query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives, query/sbjct frames,,,,,,,,,,,,,,,
AII97923.1,XM_054853556.1,50.704,284,133,3,27,308,228,1064,5.10E-94,290,64.08,0,3,,,,,,,,,,,,,,
AII97923.1,XM_054853556.1,50.704,284,133,3,27,308,228,1064,5.10E-94,290,64.08,0,3,,,,,,,,,,,,,,
AII97923.1,XM_054868774.1,43.243,296,150,7,27,312,141,1004,6.95E-69,225,55.41,0,3,,,,,,,,,,,,,,
AII97923.1,XM_054868774.1,43.243,296,150,7,27,312,141,1004,6.95E-69,225,55.41,0,3,,,,,,,,,,,,,,
AII97923.1,XM_054865801.1,38.944,303,166,8,26,314,348,1241,9.26E-62,206,53.47,0,3,,,,,,,,,,,,,,
AII97923.1,XM_054865801.1,38.944,303,166,8,26,314,348,1241,9.26E-62,206,53.47,0,3,,,,,,,,,,,,,,
AII97923.1,XM_054864219.1,34.444,180,92,8,58,232,636,1112,4.68E-20,90.5,51.67,0,3,,,,,,,,,,,,,,
AII97923.1,XM_054864219.1,34.444,180,92,8,58,232,636,1112,4.68E-20,90.5,51.67,0,3,,,,,,,,,,,,,,
KFM56639.1,XM_054865031.1,66.667,474,151,4,1,470,165,1577,0,671,81.65,0,3,,,,,,,,,,,,,,
KFM56639.1,XM_054865030.1,67.089,474,149,4,1,470,229,1641,0,663,81.86,0,1,,,,,,,,,,,,,,
KFM56639.1,XM_054865039.1,64.119,471,163,4,1,469,1378,2778,0,624,79.41,0,1,,,,,,,,,,,,,,
KFM56639.1,XM_054865039.1,65.092,381,129,3,1,381,160,1290,2.35E-159,476,77.69,0,1,,,,,,,,,,,,,,
KFM56639.1,XM_054856984.1,50.564,443,210,5,1,437,220,1539,3.06E-153,446,66.14,0,1,,,,,,,,,,,,,,
KFM56639.1,XM_054854281.1,50,450,210,6,1,437,199,1542,6.05E-152,444,66.67,0,1,,,,,,,,,,,,,,
KFM56639.1,XM_054855129.1,51.236,445,205,6,1,437,166,1488,3.31E-151,447,67.42,0,1,,,,,,,,,,,,,,
KFM56639.1,XM_054864872.1,50.112,447,210,6,1,437,271,1602,9.86E-149,438,65.55,0,1,,,,,,,,,,,,,,
KFM56639.1,XM_054854254.1,50.11,455,206,7,1,437,219,1574,1.11E-146,431,65.71,0,3,,,,,,,,,,,,,,
KFM56639.1,XM_054856986.1,53.977,176,79,2,270,444,34,558,1.20E-56,187,65.91,0,1,,,,,,,,,,,,,,
KFM60485.1,XM_054853748.1,72.396,384,103,1,2,382,324,1475,0,543,83.07,0,3,,,,,,,,,,,,,,
KFM60485.1,XM_054865805.1,37.716,289,162,5,106,382,584,1432,1.96E-48,176,59.52,0,2,,,,,,,,,,,,,,
KFM60485.1,XM_054865806.1,37.716,289,162,5,106,382,765,1613,2.04E-48,176,59.52,0,3,,,,,,,,,,,,,,
KFM60485.1,XM_054855935.1,31.799,239,140,8,153,382,845,1519,4.31E-28,115,55.23,0,2,,,,,,,,,,,,,,
KFM60485.1,XM_054855936.1,31.799,239,140,8,153,382,930,1604,4.68E-28,115,55.23,0,3,,,,,,,,,,,,,,
KFM60485.1,XM_054864945.1,29.964,277,168,7,107,382,733,1488,1.32E-26,111,53.07,0,1,,,,,,,,,,,,,,
KFM60485.1,XM_054861488.1,33.484,221,134,5,162,382,673,1296,2.80E-23,101,52.94,0,1,,,,,,,,,,,,,,
KFM60485.1,XM_054861830.1,27.07,314,185,13,75,382,520,1347,5.85E-23,100,46.18,0,1,,,,,,,,,,,,,,
KFM60485.1,XM_054864487.1,27.948,229,150,5,156,382,695,1342,4.35E-22,97.8,48.91,0,2,,,,,,,,,,,,,,
KFM60485.1,XM_054862837.1,28.52,277,173,6,107,382,747,1505,2.01E-21,96.7,49.1,0,3,,,,,,,,,,,,,,
KFM62273.1,XM_054859818.1,58.801,267,110,0,4,270,171,971,1.95E-116,338,77.9,0,3,,,,,,,,,,,,,,
KFM62273.1,XM_054859819.1,51.852,270,130,0,1,270,66,875,1.60E-94,281,69.63,0,3,,,,,,,,,,,,,,
KFM62273.1,XM_054859820.1,51.852,270,130,0,1,270,71,880,1.65E-94,281,69.63,0,2,,,,,,,,,,,,,,
KFM62273.1,XM_054859817.1,35.662,272,168,2,3,270,41,847,4.99E-53,176,53.68,0,2,,,,,,,,,,,,,,
KFM62273.1,XM_054855265.1,37.037,270,163,5,1,267,14,811,4.33E-49,163,54.81,0,2,,,,,,,,,,,,,,
KFM62273.1,XM_054861849.1,30.851,94,62,3,45,136,477,755,0.003,38.9,44.68,0,3,,,,,,,,,,,,,,
KFM64601.1,XM_054867936.1,58.065,62,24,2,1,60,167,352,7.13E-12,62.8,74.19,0,2,,,,,,,,,,,,,,
KFM64601.1,XM_054867928.1,58.065,62,24,2,1,60,165,350,8.71E-12,62.4,74.19,0,3,,,,,,,,,,,,,,
KFM66681.1,XM_054867296.1,53.846,338,153,2,56,390,157,1170,6.32E-128,373,71.01,0,1,,,,,,,,,,,,,,
KFM66681.1,XM_054866738.1,54.142,338,152,2,56,390,398,1411,4.00E-126,380,72.19,0,2,,,,,,,,,,,,,,
KFM66681.1,XM_054866737.1,53.846,338,153,2,56,390,398,1411,2.36E-124,375,71.6,0,2,,,,,,,,,,,,,,
KFM66681.1,XM_054866725.1,53.846,338,153,2,56,390,374,1387,1.17E-119,375,71.3,0,2,,,,,,,,,,,,,,
KFM66681.1,XM_054866739.1,50.296,338,135,3,56,390,398,1321,1.13E-116,355,67.16,0,2,,,,,,,,,,,,,,
KFM66681.1,XM_054856661.1,43.836,365,195,3,37,391,106,1200,5.44E-104,316,61.37,0,1,,,,,,,,,,,,,,
KFM66681.1,XM_054856662.1,44.928,345,187,2,50,391,166,1200,6.23E-104,315,63.48,0,1,,,,,,,,,,,,,,
KFM66681.1,XM_054857217.1,39.41,373,219,4,23,390,103,1215,4.47E-84,263,56.84,0,1,,,,,,,,,,,,,,
KFM66681.1,XM_054857848.1,39.823,339,200,3,54,389,238,1251,2.70E-82,259,58.11,0,1,,,,,,,,,,,,,,
KFM66681.1,XM_054860918.1,38.793,348,209,3,46,391,110,1147,3.22E-79,254,58.62,0,2,,,,,,,,,,,,,,
KFM71243.1,XM_054853036.1,60,70,23,1,1,65,2293,2502,5.77E-21,84.3,71.43,0,1,,,,,,,,,,,,,,
KFM71243.1,XM_054852474.1,50,70,30,1,1,65,2056,2265,5.87E-14,64.3,62.86,0,1,,,,,,,,,,,,,,
KFM71243.1,XM_054867173.1,40.984,61,36,0,2,62,5913,5731,3.08E-06,42.7,49.18,0,-3,,,,,,,,,,,,,,
KFM75506.1,XM_054866944.1,55.769,260,115,0,1,260,349,1128,9.12E-97,292,70,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866944.1,52.692,260,123,0,1,260,601,1380,4.67E-93,282,69.62,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866944.1,49.827,289,137,1,1,281,265,1131,5.88E-91,277,63.32,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866944.1,52.14,257,123,0,4,260,526,1296,6.99E-91,277,70.04,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866944.1,48.951,286,138,1,4,281,106,963,4.69E-90,275,65.03,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866944.1,47.751,289,143,1,1,281,181,1047,1.01E-88,271,65.05,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866944.1,48.062,258,134,0,3,260,19,792,8.47E-81,251,64.73,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866944.1,46.415,265,134,1,25,281,1,795,3.55E-76,239,62.64,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866940.1,49.231,260,132,0,1,260,175,954,1.83E-96,287,70,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866940.1,46.021,289,148,2,1,281,91,957,3.17E-95,284,66.44,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866940.1,45.361,291,151,1,1,283,7,879,1.58E-93,279,65.64,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866940.1,46.183,262,133,2,28,281,4,789,1.07E-84,257,65.65,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866940.1,46.444,239,128,0,1,239,259,975,1.21E-79,244,68.62,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866940.1,49.519,208,105,0,55,262,1,624,5.24E-72,224,70.19,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866940.1,45.57,158,86,0,1,158,511,984,3.56E-47,160,67.72,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,51.034,290,132,3,1,281,253,1119,9.04E-93,290,68.62,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,47.931,290,141,3,1,281,337,1203,4.57E-85,270,65.86,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,47.751,289,143,1,1,281,421,1287,8.78E-85,269,64.71,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,48.097,289,142,1,1,281,85,951,1.41E-84,268,63.32,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,48.789,289,140,3,1,281,505,1371,1.52E-84,268,65.05,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,47.751,289,143,1,1,281,1,867,1.24E-83,266,63.67,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,48.092,262,136,0,1,262,841,1626,1.56E-82,263,69.08,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,50,262,131,0,1,262,589,1374,1.70E-82,263,67.56,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,46.021,289,148,1,1,281,673,1539,4.44E-82,262,64.36,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,44.291,289,153,1,1,281,925,1791,2.43E-79,254,63.67,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,42.708,288,157,1,4,283,1354,2217,2.22E-77,249,63.19,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,42.561,289,158,1,1,281,1261,2127,1.54E-75,244,61.59,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,46.565,262,140,0,1,262,1177,1962,2.76E-75,244,64.5,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,45,260,143,0,1,260,1093,1872,6.76E-73,238,63.85,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,45.783,249,135,0,4,252,1522,2268,4.11E-70,230,63.86,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866984.1,46.429,224,120,0,1,224,1597,2268,5.71E-61,206,64.29,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,46.996,283,148,1,1,281,763,1611,8.48E-92,289,69.61,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,50,262,131,0,1,262,91,876,1.01E-90,286,70.23,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,49.618,262,132,0,1,262,1585,2370,1.17E-89,283,69.85,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,45.329,289,150,1,1,281,427,1293,1.43E-88,281,65.05,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,48.855,262,134,0,1,262,679,1464,7.07E-87,276,68.32,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,45.329,289,150,1,1,281,175,1041,2.65E-86,275,64.71,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,47.876,259,135,0,4,262,16,792,1.55E-85,273,68.73,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,48.092,262,136,0,1,262,595,1380,3.86E-85,271,68.32,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,42.765,311,148,3,1,281,1435,2367,3.06E-84,269,61.41,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,44.366,284,136,1,1,262,931,1782,1.42E-81,262,63.03,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,48.963,241,123,0,1,241,1669,2391,3.44E-80,258,68.46,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,44.656,262,137,1,28,281,4,789,2.32E-78,253,66.79,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,47.826,46,24,0,210,255,2379,2516,6.43E-09,57,71.74,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,43.478,46,26,0,182,227,2379,2516,3.08E-07,51.6,67.39,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,43.478,46,26,0,154,199,2379,2516,3.96E-07,51.2,71.74,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,50,44,22,0,98,141,2379,2510,4.22E-07,51.2,68.18,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,36.957,46,29,0,70,115,2379,2516,1.86E-06,49.3,73.91,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,45.455,44,24,0,126,169,2379,2510,5.74E-06,47.8,68.18,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,44.186,43,24,0,15,57,2382,2510,2.31E-05,45.8,69.77,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866939.1,40.909,44,26,0,42,85,2379,2510,8.00E-04,41.2,63.64,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054855506.1,50.382,262,130,0,1,262,415,1200,6.79E-91,276,69.08,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054855506.1,50.382,262,130,0,1,262,499,1284,9.86E-89,271,67.56,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054855506.1,46.552,290,146,2,1,281,328,1197,3.58E-87,266,64.48,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054855506.1,51.037,241,118,0,1,241,583,1305,1.99E-82,254,68.88,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054855506.1,44.369,293,145,4,1,281,1,861,2.23E-77,241,61.77,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,48.789,289,140,1,1,281,1,867,7.09E-90,275,65.74,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,50.958,261,128,0,4,264,262,1044,1.10E-89,275,70.11,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,52.29,262,125,0,1,262,85,870,4.28E-88,270,69.08,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,49.071,269,137,0,4,272,178,984,3.29E-87,268,67.66,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,50.862,232,114,0,1,232,337,1032,6.11E-78,244,68.97,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,44.643,56,31,0,148,203,1029,1196,4.49E-07,50.8,64.29,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,42.593,54,31,0,92,145,1029,1190,3.32E-06,48.1,64.81,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,27.642,123,84,1,2,119,828,1196,4.19E-06,48.1,43.9,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,34.722,72,47,0,176,247,1029,1244,7.52E-06,47.4,54.17,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054862500.1,35.185,54,35,0,204,257,1029,1190,0.001,40.8,59.26,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866965.1,45.862,290,147,3,1,281,268,1134,4.91E-89,271,67.59,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866965.1,47.308,260,137,0,1,260,184,963,4.47E-86,264,68.46,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866965.1,46.154,260,140,0,1,260,436,1215,1.08E-85,263,69.23,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866965.1,44.291,289,153,2,1,281,100,966,3.16E-84,259,64.71,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866965.1,46.693,257,137,0,1,257,520,1290,1.12E-83,258,67.32,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866965.1,46.304,257,138,0,4,260,25,795,1.42E-81,252,69.26,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866965.1,45.148,237,130,0,1,237,604,1314,5.08E-74,233,69.2,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866965.1,45.455,231,126,0,30,260,19,711,7.03E-71,225,68.4,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,50,262,131,0,1,262,1702,2487,4.82E-88,286,70.61,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,48.043,281,142,2,1,281,2458,3288,1.64E-87,285,68.68,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,48.473,262,135,0,1,262,2374,3159,7.52E-87,283,71.37,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,43.478,299,151,2,1,281,2962,3858,7.75E-85,277,65.22,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,48.473,262,135,0,1,262,2122,2907,9.59E-85,277,68.7,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,44.637,289,152,1,1,281,2038,2904,1.04E-84,276,65.05,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,49.237,262,133,0,1,262,2290,3075,1.12E-84,276,68.32,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,48.092,262,136,0,1,262,1786,2571,6.10E-84,275,69.08,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,48.263,259,134,0,4,262,1627,2403,1.02E-83,274,68.73,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,44.637,289,152,1,1,281,1954,2820,1.99E-83,273,65.4,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,44.291,289,153,1,1,281,1534,2400,8.82E-83,271,65.74,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,48.092,262,136,0,1,262,1450,2235,9.71E-83,271,68.32,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,47.328,262,138,0,1,262,3832,4617,1.00E-82,271,67.94,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,46.403,278,127,2,1,262,3046,3861,8.90E-82,268,65.83,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,42.765,311,148,3,1,281,3682,4614,9.44E-82,268,61.41,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,40.24,333,147,4,1,281,2542,3540,2.14E-79,261,58.56,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,45.344,247,135,0,16,262,1411,2151,6.92E-74,246,68.02,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,41.608,286,159,2,4,281,94,951,1.09E-73,245,60.49,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,42.164,268,155,0,4,271,262,1065,2.40E-73,244,60.45,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,46.058,241,130,0,1,241,3916,4638,3.30E-73,244,66.39,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,40.989,283,165,1,1,283,337,1179,4.45E-73,243,60.42,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,41.154,260,153,0,1,260,169,948,4.41E-69,232,61.15,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,37.908,306,159,2,4,281,430,1338,1.56E-68,230,55.88,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,41.762,261,144,2,29,281,1,783,8.12E-66,223,60.15,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,51.02,49,24,0,98,146,4626,4772,4.71E-10,60.5,73.47,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,47.917,48,25,0,210,257,4626,4769,1.02E-09,59.3,70.83,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,44.898,49,27,0,182,230,4626,4772,3.58E-09,57.8,69.39,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,46.939,49,26,0,154,202,4626,4772,4.25E-09,57.4,73.47,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,40.816,49,29,0,70,118,4626,4772,2.95E-08,55.1,75.51,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,46.939,49,26,0,126,174,4626,4772,5.70E-08,53.9,69.39,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,47.917,48,25,0,15,62,4629,4772,2.99E-07,52,68.75,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,39.583,48,29,0,42,89,4626,4769,6.56E-05,44.7,64.58,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054866941.1,41.176,34,20,0,1,34,4671,4772,0.038,35.8,61.76,0,3,,,,,,,,,,,,,,
KFM75506.1,XM_054867826.1,49.481,289,138,1,1,281,1072,1938,2.04E-87,281,64.36,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054867826.1,49.481,289,138,1,1,281,1828,2694,3.93E-87,280,64.01,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054867826.1,51.145,262,128,0,1,262,1408,2193,1.84E-85,276,67.18,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054867826.1,51.145,262,128,0,1,262,2164,2949,1.84E-85,276,67.18,0,1,,,,,,,,,,,,,,
KFM75506.1,XM_054867826.1,47.751,289,143,1,1,281,1156,2022,2.85E-85,275,63.67,0,1,,,,,,,,,,,,,,
