HOG	OG	Best_hit	Subject_id	Gene	Db_xref	Protein	Protein_id	Location	Gbkey	E_val	iden	len	Coords
N5.HOG0001041	OG0000000	gnl|BL_ORD_ID|13152 lcl|NC_072737.1_cds_XP_054717511.1_13153 [gene=LOC129226906] [db_xref=GeneID:129226906] [protein=zinc finger protein 239-like] [protein_id=XP_054717511.1] [location=complement(join(136829704..136829829,136890859..136891653))] [gbkey=CDS]	gnl|BL_ORD_ID|13152 lcl|NC_072737.1_cds_XP_054717511.1_13153	LOC129226906	GeneID:129226906	zinc finger protein 239-like	XP_054717511.1	complement(join(136829704..136829829,136890859..136891653))	CDS	2.93949e-23	123	252	[196, 447]
N5.HOG0001043	OG0000000	gnl|BL_ORD_ID|18143 lcl|NW_026558098.1_cds_XP_054722981.1_18144 [gene=LOC129232903] [db_xref=GeneID:129232903] [protein=zinc finger protein 726-like] [protein_id=XP_054722981.1] [location=complement(join(7971619..7971995,7986671..7987040))] [gbkey=CDS]	gnl|BL_ORD_ID|18143 lcl|NW_026558098.1_cds_XP_054722981.1_18144	LOC129232903	GeneID:129232903	zinc finger protein 726-like	XP_054722981.1	complement(join(7971619..7971995,7986671..7987040))	CDS	1.14905e-29	147	333	[28, 360]
N5.HOG0001044	OG0000000	gnl|BL_ORD_ID|18163 lcl|NW_026558098.1_cds_XP_054723013.1_18164 [gene=LOC129232936] [db_xref=GeneID:129232936] [protein=zinc finger protein 271-like] [protein_id=XP_054723013.1] [location=8822529..8823476] [gbkey=CDS]	gnl|BL_ORD_ID|18163 lcl|NW_026558098.1_cds_XP_054723013.1_18164	LOC129232936	GeneID:129232936	zinc finger protein 271-like	XP_054723013.1	8822529..8823476	CDS	1.17077e-31	189	489	[184, 660]
N5.HOG0001051	OG0000000	gnl|BL_ORD_ID|18128 lcl|NW_026558098.1_cds_XP_054722966.1_18129 [gene=LOC129232888] [db_xref=GeneID:129232888] [protein=zinc finger protein 726-like] [protein_id=XP_054722966.1] [location=join(7248238..7248801,7250561..7250716)] [gbkey=CDS]	gnl|BL_ORD_ID|18128 lcl|NW_026558098.1_cds_XP_054722966.1_18129	LOC129232888	GeneID:129232888	zinc finger protein 726-like	XP_054722966.1	join(7248238..7248801,7250561..7250716)	CDS	4.78322e-24	141	357	[31, 378]
N5.HOG0001052	OG0000000	gnl|BL_ORD_ID|7734 lcl|NC_072734.1_cds_XP_054711199.1_7735 [gene=LOC129220793] [db_xref=GeneID:129220793] [protein=zinc finger protein 484-like] [protein_id=XP_054711199.1] [location=complement(join(119144831..119145132,119148703..119148987,119159395..119159619,119161426..119161474))] [gbkey=CDS]	gnl|BL_ORD_ID|7734 lcl|NC_072734.1_cds_XP_054711199.1_7735	LOC129220793	GeneID:129220793	zinc finger protein 484-like	XP_054711199.1	complement(join(119144831..119145132,119148703..119148987,119159395..119159619,119161426..119161474))	CDS	1.31825e-18	111	276	[580, 855]
N5.HOG0001055	OG0000000	gnl|BL_ORD_ID|7734 lcl|NC_072734.1_cds_XP_054711199.1_7735 [gene=LOC129220793] [db_xref=GeneID:129220793] [protein=zinc finger protein 484-like] [protein_id=XP_054711199.1] [location=complement(join(119144831..119145132,119148703..119148987,119159395..119159619,119161426..119161474))] [gbkey=CDS]	gnl|BL_ORD_ID|7734 lcl|NC_072734.1_cds_XP_054711199.1_7735	LOC129220793	GeneID:129220793	zinc finger protein 484-like	XP_054711199.1	complement(join(119144831..119145132,119148703..119148987,119159395..119159619,119161426..119161474))	CDS	8.57946e-24	117	231	[622, 852]
N5.HOG0001166	OG0000000	gnl|BL_ORD_ID|566 lcl|NC_072731.1_cds_XP_054720252.1_567 [gene=LOC129229892] [db_xref=GeneID:129229892] [protein=gastrula zinc finger protein XlCGF57.1-like] [protein_id=XP_054720252.1] [location=58371712..58373160] [gbkey=CDS]	gnl|BL_ORD_ID|566 lcl|NC_072731.1_cds_XP_054720252.1_567	LOC129229892	GeneID:129229892	gastrula zinc finger protein XlCGF57.1-like	XP_054720252.1	58371712..58373160	CDS	6.91599e-12	90	183	[493, 675]
N5.HOG0001168	OG0000000	gnl|BL_ORD_ID|10288 lcl|NC_072736.1_cds_XP_054714313.1_10289 [gene=LOC129223955] [db_xref=GeneID:129223955] [protein=zinc finger protein 271-like] [protein_id=XP_054714313.1] [location=4661324..4662664] [gbkey=CDS]	gnl|BL_ORD_ID|10288 lcl|NC_072736.1_cds_XP_054714313.1_10289	LOC129223955	GeneID:129223955	zinc finger protein 271-like	XP_054714313.1	4661324..4662664	CDS	1.59123e-74	372	858	[199, 1044]
N5.HOG0001310	OG0000000	gnl|BL_ORD_ID|18269 lcl|NW_026558313.1_cds_XP_054723131.1_18270 [gene=LOC129233094] [db_xref=GeneID:129233094] [protein=zinc finger protein 569-like] [protein_id=XP_054723131.1] [location=join(93969..94033,96257..96498,96583..96937,97590..97924,98176..98182,98856..99228)] [gbkey=CDS]	gnl|BL_ORD_ID|18269 lcl|NW_026558313.1_cds_XP_054723131.1_18270	LOC129233094	GeneID:129233094	zinc finger protein 569-like	XP_054723131.1	join(93969..94033,96257..96498,96583..96937,97590..97924,98176..98182,98856..99228)	CDS	8.57514e-53	246	387	[730, 1116]
N5.HOG0001531	OG0000000	gnl|BL_ORD_ID|18461 lcl|NW_026558509.1_cds_XP_054723352.1_18462 [gene=LOC129233335] [db_xref=GeneID:129233335] [protein=zinc finger protein 679-like] [partial=3'] [protein_id=XP_054723352.1] [location=complement(join(<99162..99555,100957..101060,101271..101357))] [gbkey=CDS]	gnl|BL_ORD_ID|18461 lcl|NW_026558509.1_cds_XP_054723352.1_18462	LOC129233335	GeneID:129233335	zinc finger protein 679-like	XP_054723352.1	complement(join(<99162..99555,100957..101060,101271..101357))	CDS	2.99874e-43	207	357	[187, 543]
N5.HOG0001595	OG0000001	gnl|BL_ORD_ID|16030 lcl|NC_072739.1_cds_XP_054720796.1_16031 [gene=LOC129230421] [db_xref=GeneID:129230421] [protein=speckle-type POZ protein-like] [protein_id=XP_054720796.1] [location=complement(join(106802802..106803373,106817373..106817586))] [gbkey=CDS]	gnl|BL_ORD_ID|16030 lcl|NC_072739.1_cds_XP_054720796.1_16031	LOC129230421	GeneID:129230421	speckle-type POZ protein-like	XP_054720796.1	complement(join(106802802..106803373,106817373..106817586))	CDS	1.11754e-11	120	381	[121, 465]
N5.HOG0001603	OG0000001	gnl|BL_ORD_ID|15531 lcl|NC_072739.1_cds_XP_054720617.1_15532 [gene=LOC129230241] [db_xref=GeneID:129230241] [protein=speckle-type POZ protein-like B] [protein_id=XP_054720617.1] [location=join(58808359..58808368,58825059..58825630)] [gbkey=CDS]	gnl|BL_ORD_ID|15531 lcl|NC_072739.1_cds_XP_054720617.1_15532	LOC129230241	GeneID:129230241	speckle-type POZ protein-like B	XP_054720617.1	join(58808359..58808368,58825059..58825630)	CDS	7.26223e-26	144	378	[70, 438]
N5.HOG0001608	OG0000001	gnl|BL_ORD_ID|16254 lcl|NC_072739.1_cds_XP_054720871.1_16255 [gene=LOC129230495] [db_xref=GeneID:129230495] [protein=TD and POZ domain-containing protein 3-like] [protein_id=XP_054720871.1] [location=complement(131359718..131360368)] [gbkey=CDS]	gnl|BL_ORD_ID|16254 lcl|NC_072739.1_cds_XP_054720871.1_16255	LOC129230495	GeneID:129230495	TD and POZ domain-containing protein 3-like	XP_054720871.1	complement(131359718..131360368)	CDS	1.17603e-35	189	489	[25, 513]
N5.HOG0001609	OG0000001	gnl|BL_ORD_ID|16159 lcl|NC_072739.1_cds_XP_054719691.1_16160 [gene=LOC129229412] [db_xref=GeneID:129229412] [protein=TD and POZ domain-containing protein 3-like] [protein_id=XP_054719691.1] [location=complement(join(122758761..122759365,122791195..122791624))] [gbkey=CDS]	gnl|BL_ORD_ID|16159 lcl|NC_072739.1_cds_XP_054719691.1_16160	LOC129229412	GeneID:129229412	TD and POZ domain-containing protein 3-like	XP_054719691.1	complement(join(122758761..122759365,122791195..122791624))	CDS	8.96899e-20	126	327	[496, 822]
N5.HOG0001616	OG0000001	gnl|BL_ORD_ID|9592 lcl|NC_072735.1_cds_XP_054713654.1_9593 [gene=LOC129223112] [db_xref=GeneID:129223112] [protein=speckle-type POZ protein B-like] [protein_id=XP_054713654.1] [location=join(122101398..122101530,122108078..122108928)] [gbkey=CDS]	gnl|BL_ORD_ID|9592 lcl|NC_072735.1_cds_XP_054713654.1_9593	LOC129223112	GeneID:129223112	speckle-type POZ protein B-like	XP_054713654.1	join(122101398..122101530,122108078..122108928)	CDS	8.02101e-21	138	369	[469, 834]
N5.HOG0001627	OG0000001	gnl|BL_ORD_ID|15444 lcl|NC_072739.1_cds_XP_054720580.1_15445 [gene=LOC129230204] [db_xref=GeneID:129230204] [protein=speckle-type POZ protein-like] [protein_id=XP_054720580.1] [location=50472088..50472645] [gbkey=CDS]	gnl|BL_ORD_ID|15444 lcl|NC_072739.1_cds_XP_054720580.1_15445	LOC129230204	GeneID:129230204	speckle-type POZ protein-like	XP_054720580.1	50472088..50472645	CDS	7.49032e-30	168	453	[64, 516]
N5.HOG0001633	OG0000001	gnl|BL_ORD_ID|13677 lcl|NC_072738.1_cds_XP_054718544.1_13678 [gene=LOC129227947] [db_xref=GeneID:129227947] [protein=speckle-type POZ protein-like] [protein_id=XP_054718544.1] [location=complement(17451014..17452072)] [gbkey=CDS]	gnl|BL_ORD_ID|13677 lcl|NC_072738.1_cds_XP_054718544.1_13678	LOC129227947	GeneID:129227947	speckle-type POZ protein-like	XP_054718544.1	complement(17451014..17452072)	CDS	6.03298e-30	231	657	[418, 1059]
N5.HOG0001635	OG0000001	gnl|BL_ORD_ID|15531 lcl|NC_072739.1_cds_XP_054720617.1_15532 [gene=LOC129230241] [db_xref=GeneID:129230241] [protein=speckle-type POZ protein-like B] [protein_id=XP_054720617.1] [location=join(58808359..58808368,58825059..58825630)] [gbkey=CDS]	gnl|BL_ORD_ID|15531 lcl|NC_072739.1_cds_XP_054720617.1_15532	LOC129230241	GeneID:129230241	speckle-type POZ protein-like B	XP_054720617.1	join(58808359..58808368,58825059..58825630)	CDS	2.92988e-11	93	234	[37, 264]
N5.HOG0001639	OG0000001	gnl|BL_ORD_ID|6796 lcl|NC_072734.1_cds_XP_054711991.1_6797 [gene=LOC129221524] [db_xref=GeneID:129221524] [protein=protein roadkill-like] [protein_id=XP_054711991.1] [location=complement(27207416..27208546)] [gbkey=CDS]	gnl|BL_ORD_ID|6796 lcl|NC_072734.1_cds_XP_054711991.1_6797	LOC129221524	GeneID:129221524	protein roadkill-like	XP_054711991.1	complement(27207416..27208546)	CDS	7.41468e-09	132	426	[103, 516]
N5.HOG0001643	OG0000002	gnl|BL_ORD_ID|11694 lcl|NC_072736.1_cds_XP_054715529.1_11695 [gene=LOC129225008] [db_xref=GeneID:129225008] [protein=uncharacterized protein LOC129225008] [protein_id=XP_054715529.1] [location=140221578..140224439] [gbkey=CDS]	gnl|BL_ORD_ID|11694 lcl|NC_072736.1_cds_XP_054715529.1_11695	LOC129225008	GeneID:129225008	uncharacterized protein LOC129225008	XP_054715529.1	140221578..140224439	CDS	5.52145e-34	225	543	[874, 1410]
N5.HOG0001875	OG0000002	gnl|BL_ORD_ID|8741 lcl|NC_072735.1_cds_XP_054713000.1_8742 [gene=LOC129222513] [db_xref=GeneID:129222513] [protein=uncharacterized protein LOC129222513] [protein_id=XP_054713000.1] [location=27480370..27485568] [gbkey=CDS]	gnl|BL_ORD_ID|8741 lcl|NC_072735.1_cds_XP_054713000.1_8742	LOC129222513	GeneID:129222513	uncharacterized protein LOC129222513	XP_054713000.1	27480370..27485568	CDS	0.0	1251	2538	[2725, 5199]
N5.HOG0002031	OG0000003	gnl|BL_ORD_ID|18903 lcl|NW_026559070.1_cds_XP_054723860.1_18904 [gene=LOC129233975] [db_xref=GeneID:129233975] [protein=cuticle protein 10.9-like] [protein_id=XP_054723860.1] [location=complement(join(1797..2204,5419..5472,8392..8397))] [gbkey=CDS]	gnl|BL_ORD_ID|18903 lcl|NW_026559070.1_cds_XP_054723860.1_18904	LOC129233975	GeneID:129233975	cuticle protein 10.9-like	XP_054723860.1	complement(join(1797..2204,5419..5472,8392..8397))	CDS	1.10468e-58	294	468	[1, 459]
N5.HOG0002033	OG0000003	gnl|BL_ORD_ID|18903 lcl|NW_026559070.1_cds_XP_054723860.1_18904 [gene=LOC129233975] [db_xref=GeneID:129233975] [protein=cuticle protein 10.9-like] [protein_id=XP_054723860.1] [location=complement(join(1797..2204,5419..5472,8392..8397))] [gbkey=CDS]	gnl|BL_ORD_ID|18903 lcl|NW_026559070.1_cds_XP_054723860.1_18904	LOC129233975	GeneID:129233975	cuticle protein 10.9-like	XP_054723860.1	complement(join(1797..2204,5419..5472,8392..8397))	CDS	3.62686e-30	225	402	[64, 453]
N5.HOG0002045	OG0000003	gnl|BL_ORD_ID|6455 lcl|NC_072733.1_cds_XP_054708871.1_6456 [gene=LOC129218583] [db_xref=GeneID:129218583] [protein=cuticle protein 10.9-like] [protein_id=XP_054708871.1] [location=join(214123654..214123659,214126929..214126976,214134164..214134556)] [gbkey=CDS]	gnl|BL_ORD_ID|6455 lcl|NC_072733.1_cds_XP_054708871.1_6456	LOC129218583	GeneID:129218583	cuticle protein 10.9-like	XP_054708871.1	join(214123654..214123659,214126929..214126976,214134164..214134556)	CDS	6.6417e-48	288	477	[1, 447]
N5.HOG0002047	OG0000003	gnl|BL_ORD_ID|6454 lcl|NC_072733.1_cds_XP_054709503.1_6455 [gene=LOC129219201] [db_xref=GeneID:129219201] [protein=cuticle protein 10.9-like] [protein_id=XP_054709503.1] [location=join(214096734..214096739,214104476..214104526,214105801..214106154)] [gbkey=CDS]	gnl|BL_ORD_ID|6454 lcl|NC_072733.1_cds_XP_054709503.1_6455	LOC129219201	GeneID:129219201	cuticle protein 10.9-like	XP_054709503.1	join(214096734..214096739,214104476..214104526,214105801..214106154)	CDS	1.53162e-44	222	342	[82, 408]
N5.HOG0002048	OG0000003	gnl|BL_ORD_ID|3206 lcl|NC_072732.1_cds_XP_054707218.1_3207 [gene=LOC129217012] [db_xref=GeneID:129217012] [protein=adult-specific rigid cuticular protein 15.7-like] [protein_id=XP_054707218.1] [location=complement(join(47020531..47020938,47023280..47023345,47027153..47027221))] [gbkey=CDS]	gnl|BL_ORD_ID|3206 lcl|NC_072732.1_cds_XP_054707218.1_3207	LOC129217012	GeneID:129217012	adult-specific rigid cuticular protein 15.7-like	XP_054707218.1	complement(join(47020531..47020938,47023280..47023345,47027153..47027221))	CDS	3.05453e-56	288	441	[112, 540]
N5.HOG0002053	OG0000003	gnl|BL_ORD_ID|14208 lcl|NC_072738.1_cds_XP_054717795.1_14209 [gene=LOC129227284] [db_xref=GeneID:129227284] [protein=adult-specific rigid cuticular protein 15.7-like] [protein_id=XP_054717795.1] [location=complement(join(79297117..79297629,79300459..79300518,79308933..79308941))] [gbkey=CDS]	gnl|BL_ORD_ID|14208 lcl|NC_072738.1_cds_XP_054717795.1_14209	LOC129227284	GeneID:129227284	adult-specific rigid cuticular protein 15.7-like	XP_054717795.1	complement(join(79297117..79297629,79300459..79300518,79308933..79308941))	CDS	1.57731e-35	168	243	[97, 339]
N5.HOG0002054	OG0000003	gnl|BL_ORD_ID|14688 lcl|NC_072738.1_cds_XP_054718377.1_14689 [gene=LOC129227793] [db_xref=GeneID:129227793] [protein=adult-specific rigid cuticular protein 15.7-like] [protein_id=XP_054718377.1] [location=join(134489301..134489309,134494770..134494892,134497191..134497525,134499356..134499485)] [gbkey=CDS]	gnl|BL_ORD_ID|14688 lcl|NC_072738.1_cds_XP_054718377.1_14689	LOC129227793	GeneID:129227793	adult-specific rigid cuticular protein 15.7-like	XP_054718377.1	join(134489301..134489309,134494770..134494892,134497191..134497525,134499356..134499485)	CDS	1.01986e-46	213	267	[124, 390]
N5.HOG0002055	OG0000003	gnl|BL_ORD_ID|1500 lcl|NC_072731.1_cds_XP_054723081.1_1501 [gene=LOC129233021] [db_xref=GeneID:129233021] [protein=cuticle protein 16.8-like] [protein_id=XP_054723081.1] [location=complement(join(154379239..154379568,154381328..154381543,154382495..154382653,154388873..154388875))] [gbkey=CDS]	gnl|BL_ORD_ID|1500 lcl|NC_072731.1_cds_XP_054723081.1_1501	LOC129233021	GeneID:129233021	cuticle protein 16.8-like	XP_054723081.1	complement(join(154379239..154379568,154381328..154381543,154382495..154382653,154388873..154388875))	CDS	5.70338e-72	381	714	[1, 708]
N5.HOG0002066	OG0000003	gnl|BL_ORD_ID|2562 lcl|NC_072731.1_cds_XP_054710408.1_2563 [gene=LOC129220090] [db_xref=GeneID:129220090] [protein=adult-specific rigid cuticular protein 15.5-like] [protein_id=XP_054710408.1] [location=complement(join(253834686..253835144,253835567..253835620,253845941..253845994,253850997..253851164))] [gbkey=CDS]	gnl|BL_ORD_ID|2562 lcl|NC_072731.1_cds_XP_054710408.1_2563	LOC129220090	GeneID:129220090	adult-specific rigid cuticular protein 15.5-like	XP_054710408.1	complement(join(253834686..253835144,253835567..253835620,253845941..253845994,253850997..253851164))	CDS	3.2614e-38	183	231	[301, 531]
N5.HOG0002072	OG0000003	gnl|BL_ORD_ID|4089 lcl|NC_072732.1_cds_XP_054707624.1_4090 [gene=LOC129217362] [db_xref=GeneID:129217362] [protein=proteoglycan 4-like] [protein_id=XP_054707624.1] [location=138407965..138409644] [gbkey=CDS]	gnl|BL_ORD_ID|4089 lcl|NC_072732.1_cds_XP_054707624.1_4090	LOC129217362	GeneID:129217362	proteoglycan 4-like	XP_054707624.1	138407965..138409644	CDS	3.85082e-28	159	300	[1324, 1623]
N5.HOG0002076	OG0000003	gnl|BL_ORD_ID|1890 lcl|NC_072731.1_cds_XP_054714274.1_1891 [gene=LOC129223916] [db_xref=GeneID:129223916] [protein=cuticle protein 10.9-like] [protein_id=XP_054714274.1] [location=189218871..189219341] [gbkey=CDS]	gnl|BL_ORD_ID|1890 lcl|NC_072731.1_cds_XP_054714274.1_1891	LOC129223916	GeneID:129223916	cuticle protein 10.9-like	XP_054714274.1	189218871..189219341	CDS	8.55962e-40	177	288	[148, 435]
N5.HOG0002078	OG0000003	gnl|BL_ORD_ID|7850 lcl|NC_072734.1_cds_XP_054711725.1_7851 [gene=LOC129221291] [db_xref=GeneID:129221291] [protein=cuticle protein 10.9-like] [protein_id=XP_054711725.1] [location=complement(130113557..130113973)] [gbkey=CDS]	gnl|BL_ORD_ID|7850 lcl|NC_072734.1_cds_XP_054711725.1_7851	LOC129221291	GeneID:129221291	cuticle protein 10.9-like	XP_054711725.1	complement(130113557..130113973)	CDS	3.15729e-29	141	279	[121, 399]
N5.HOG0002083	OG0000003	gnl|BL_ORD_ID|16880 lcl|NC_072740.1_cds_XP_054722169.1_16881 [gene=LOC129231815] [db_xref=GeneID:129231815] [protein=uncharacterized protein LOC129231815] [protein_id=XP_054722169.1] [location=complement(join(49095066..49095514,49105131..49105200))] [gbkey=CDS]	gnl|BL_ORD_ID|16880 lcl|NC_072740.1_cds_XP_054722169.1_16881	LOC129231815	GeneID:129231815	uncharacterized protein LOC129231815	XP_054722169.1	complement(join(49095066..49095514,49105131..49105200))	CDS	1.39769e-64	294	516	[4, 516]
N5.HOG0002108	OG0000003	gnl|BL_ORD_ID|2533 lcl|NC_072731.1_cds_XP_054717394.1_2534 [gene=LOC129226789] [db_xref=GeneID:129226789] [protein=uncharacterized protein LOC129226789] [protein_id=XP_054717394.1] [location=join(251719518..251719532,251727697..251727894,251728689..251729007,251730095..251730237)] [gbkey=CDS]	gnl|BL_ORD_ID|2533 lcl|NC_072731.1_cds_XP_054717394.1_2534	LOC129226789	GeneID:129226789	uncharacterized protein LOC129226789	XP_054717394.1	join(251719518..251719532,251727697..251727894,251728689..251729007,251730095..251730237)	CDS	5.17219e-59	264	279	[217, 495]
N5.HOG0002110	OG0000003	gnl|BL_ORD_ID|2533 lcl|NC_072731.1_cds_XP_054717394.1_2534 [gene=LOC129226789] [db_xref=GeneID:129226789] [protein=uncharacterized protein LOC129226789] [protein_id=XP_054717394.1] [location=join(251719518..251719532,251727697..251727894,251728689..251729007,251730095..251730237)] [gbkey=CDS]	gnl|BL_ORD_ID|2533 lcl|NC_072731.1_cds_XP_054717394.1_2534	LOC129226789	GeneID:129226789	uncharacterized protein LOC129226789	XP_054717394.1	join(251719518..251719532,251727697..251727894,251728689..251729007,251730095..251730237)	CDS	6.73051e-18	105	159	[337, 495]
N5.HOG0002114	OG0000003	gnl|BL_ORD_ID|1047 lcl|NC_072731.1_cds_XP_054721160.1_1048 [gene=LOC129230725] [db_xref=GeneID:129230725] [protein=cuticle protein 10.9-like] [protein_id=XP_054721160.1] [location=complement(join(110721386..110721508,110726158..110726337,110727689..110727769,110730160..110730171))] [gbkey=CDS]	gnl|BL_ORD_ID|1047 lcl|NC_072731.1_cds_XP_054721160.1_1048	LOC129230725	GeneID:129230725	cuticle protein 10.9-like	XP_054721160.1	complement(join(110721386..110721508,110726158..110726337,110727689..110727769,110730160..110730171))	CDS	3.8392e-53	240	357	[1, 357]
N5.HOG0002150	OG0000003	gnl|BL_ORD_ID|1066 lcl|NC_072731.1_cds_XP_054721816.1_1067 [gene=LOC129231506] [db_xref=GeneID:129231506] [protein=cuticle protein 14-like] [protein_id=XP_054721816.1] [location=join(111839553..111839558,111842043..111842141,111845999..111846370)] [gbkey=CDS]	gnl|BL_ORD_ID|1066 lcl|NC_072731.1_cds_XP_054721816.1_1067	LOC129231506	GeneID:129231506	cuticle protein 14-like	XP_054721816.1	join(111839553..111839558,111842043..111842141,111845999..111846370)	CDS	6.72513e-64	327	480	[1, 435]
