HOG	OG	Best_hit	Subject_id	Gene	Db_xref	Protein	Protein_id	Location	Gbkey	E_val	iden	len	Coords
N5.HOG0001041	OG0000000	gnl|BL_ORD_ID|17905 lcl|NC_092209.1_cds_XP_071037920.1_17906 [gene=LOC122268310] [db_xref=GeneID:122268310] [protein=gastrula zinc finger protein XlCGF7.1] [partial=5'] [protein_id=XP_071037920.1] [location=complement(join(66759889..66760172,66762907..66763001,66764605..>66764915))] [gbkey=CDS]	gnl|BL_ORD_ID|17905 lcl|NC_092209.1_cds_XP_071037920.1_17906	LOC122268310	GeneID:122268310	gastrula zinc finger protein XlCGF7.1	XP_071037920.1	complement(join(66759889..66760172,66762907..66763001,66764605..>66764915))	CDS	1.49411e-23	132	261	[43, 300]
N5.HOG0001043	OG0000000	gnl|BL_ORD_ID|15900 lcl|NC_092209.1_cds_XP_021002856.2_15901 [gene=LOC107438892] [db_xref=GeneID:107438892] [protein=zinc finger protein 585A] [protein_id=XP_021002856.2] [location=complement(3296391..3298031)] [gbkey=CDS]	gnl|BL_ORD_ID|15900 lcl|NC_092209.1_cds_XP_021002856.2_15901	LOC107438892	GeneID:107438892	zinc finger protein 585A	XP_021002856.2	complement(3296391..3298031)	CDS	2.88145e-30	159	381	[1081, 1452]
N5.HOG0001044	OG0000000	gnl|BL_ORD_ID|25444 lcl|NC_092212.1_cds_XP_042909790.1_25445 [gene=LOC122271702] [db_xref=GeneID:122271702] [protein=zinc finger protein 271-like] [protein_id=XP_042909790.1] [location=complement(44482183..44483055)] [gbkey=CDS]	gnl|BL_ORD_ID|25444 lcl|NC_092212.1_cds_XP_042909790.1_25445	LOC122271702	GeneID:122271702	zinc finger protein 271-like	XP_042909790.1	complement(44482183..44483055)	CDS	7.59939e-33	183	429	[40, 459]
N5.HOG0001051	OG0000000	gnl|BL_ORD_ID|16702 lcl|NC_092209.1_cds_XP_015918968.1_16703 [gene=LOC107448333] [db_xref=GeneID:107448333] [protein=oocyte zinc finger protein XlCOF15-like isoform X1] [protein_id=XP_015918968.1] [location=join(29619555..29619557,29620626..29620758,29623790..29624211)] [gbkey=CDS]	gnl|BL_ORD_ID|16702 lcl|NC_092209.1_cds_XP_015918968.1_16703	LOC107448333	GeneID:107448333	oocyte zinc finger protein XlCOF15-like isoform X1	XP_015918968.1	join(29619555..29619557,29620626..29620758,29623790..29624211)	CDS	7.51836e-76	312	402	[139, 540]
N5.HOG0001052	OG0000000	gnl|BL_ORD_ID|28599 lcl|NC_092213.1_cds_XP_015926376.2_28600 [gene=LOC107453888] [db_xref=GeneID:107453888] [protein=zinc finger protein 888-like] [protein_id=XP_015926376.2] [location=complement(43144955..43146298)] [gbkey=CDS]	gnl|BL_ORD_ID|28599 lcl|NC_092213.1_cds_XP_015926376.2_28600	LOC107453888	GeneID:107453888	zinc finger protein 888-like	XP_015926376.2	complement(43144955..43146298)	CDS	5.50889e-20	135	351	[871, 1215]
N5.HOG0001055	OG0000000	gnl|BL_ORD_ID|33634 lcl|NW_027261473.1_cds_XP_042912952.1_33635 [gene=LOC107445079] [db_xref=GeneID:107445079] [protein=zinc finger protein 271-like] [protein_id=XP_042912952.1] [location=3251..4162] [gbkey=CDS]	gnl|BL_ORD_ID|33634 lcl|NW_027261473.1_cds_XP_042912952.1_33635	LOC107445079	GeneID:107445079	zinc finger protein 271-like	XP_042912952.1	3251..4162	CDS	1.5932e-24	129	252	[217, 468]
N5.HOG0001166	OG0000000	gnl|BL_ORD_ID|10703 lcl|NC_092207.1_cds_XP_042901889.1_10704 [gene=LOC122270056] [db_xref=GeneID:122270056] [protein=zinc finger protein OZF] [protein_id=XP_042901889.1] [location=complement(36575612..36576649)] [gbkey=CDS]	gnl|BL_ORD_ID|10703 lcl|NC_092207.1_cds_XP_042901889.1_10704	LOC122270056	GeneID:122270056	zinc finger protein OZF	XP_042901889.1	complement(36575612..36576649)	CDS	2.0254e-12	87	141	[568, 708]
N5.HOG0001168	OG0000000	gnl|BL_ORD_ID|17919 lcl|NC_092209.1_cds_XP_042897801.2_17920 [gene=LOC122269330] [db_xref=GeneID:122269330] [protein=zinc finger protein 271-like] [protein_id=XP_042897801.2] [location=67141731..67143143] [gbkey=CDS]	gnl|BL_ORD_ID|17919 lcl|NC_092209.1_cds_XP_042897801.2_17920	LOC122269330	GeneID:122269330	zinc finger protein 271-like	XP_042897801.2	67141731..67143143	CDS	1.00586e-74	369	837	[364, 1188]
N5.HOG0001310	OG0000000	gnl|BL_ORD_ID|24097 lcl|NC_092212.1_cds_XP_071041138.1_24098 [gene=LOC122269433] [db_xref=GeneID:122269433] [protein=zinc finger protein 271] [protein_id=XP_071041138.1] [location=complement(3309422..3310486)] [gbkey=CDS]	gnl|BL_ORD_ID|24097 lcl|NC_092212.1_cds_XP_071041138.1_24098	LOC122269433	GeneID:122269433	zinc finger protein 271	XP_071041138.1	complement(3309422..3310486)	CDS	1.3857e-42	204	384	[499, 882]
N5.HOG0001531	OG0000000	gnl|BL_ORD_ID|17920 lcl|NC_092209.1_cds_XP_071037924.1_17921 [gene=LOC139425835] [db_xref=GeneID:139425835] [protein=zinc finger protein 32-like] [protein_id=XP_071037924.1] [location=67154326..67154793] [gbkey=CDS]	gnl|BL_ORD_ID|17920 lcl|NC_092209.1_cds_XP_071037924.1_17921	LOC139425835	GeneID:139425835	zinc finger protein 32-like	XP_071037924.1	67154326..67154793	CDS	1.8923e-36	180	354	[73, 426]
N5.HOG0001595	OG0000001	gnl|BL_ORD_ID|28080 lcl|NC_092213.1_cds_XP_015925923.1_28081 [gene=LOC107453565] [db_xref=GeneID:107453565] [protein=speckle-type POZ protein B] [protein_id=XP_015925923.1] [location=27331220..27332824] [gbkey=CDS]	gnl|BL_ORD_ID|28080 lcl|NC_092213.1_cds_XP_015925923.1_28081	LOC107453565	GeneID:107453565	speckle-type POZ protein B	XP_015925923.1	27331220..27332824	CDS	4.90007e-39	366	1200	[136, 1284]
N5.HOG0001603	OG0000001	gnl|BL_ORD_ID|28301 lcl|NC_092213.1_cds_XP_021004426.1_28302 [gene=LOC107445286] [db_xref=GeneID:107445286] [protein=uncharacterized protein] [protein_id=XP_021004426.1] [location=complement(35582852..35584384)] [gbkey=CDS]	gnl|BL_ORD_ID|28301 lcl|NC_092213.1_cds_XP_021004426.1_28302	LOC107445286	GeneID:107445286	uncharacterized protein	XP_021004426.1	complement(35582852..35584384)	CDS	2.91639e-28	174	393	[988, 1368]
N5.HOG0001608	OG0000001	gnl|BL_ORD_ID|27757 lcl|NC_092213.1_cds_XP_015909800.1_27758 [gene=LOC107441162] [db_xref=GeneID:107441162] [protein=speckle-type POZ protein] [protein_id=XP_015909800.1] [location=complement(18373983..18375602)] [gbkey=CDS]	gnl|BL_ORD_ID|27757 lcl|NC_092213.1_cds_XP_015909800.1_27758	LOC107441162	GeneID:107441162	speckle-type POZ protein	XP_015909800.1	complement(18373983..18375602)	CDS	3.97378e-47	267	705	[928, 1593]
N5.HOG0001609	OG0000001	gnl|BL_ORD_ID|28405 lcl|NC_092213.1_cds_XP_015908467.1_28406 [gene=LOC107440146] [db_xref=GeneID:107440146] [protein=speckle-type POZ protein] [protein_id=XP_015908467.1] [location=38935352..38936845] [gbkey=CDS]	gnl|BL_ORD_ID|28405 lcl|NC_092213.1_cds_XP_015908467.1_28406	LOC107440146	GeneID:107440146	speckle-type POZ protein	XP_015908467.1	38935352..38936845	CDS	3.84078e-23	135	306	[937, 1242]
N5.HOG0001616	OG0000001	gnl|BL_ORD_ID|9422 lcl|NC_092206.1_cds_XP_042903450.1_9423 [gene=LOC107438409] [db_xref=GeneID:107438409] [protein=speckle-type POZ protein isoform X2] [protein_id=XP_042903450.1] [location=complement(98753635..98754798)] [gbkey=CDS]	gnl|BL_ORD_ID|9422 lcl|NC_092206.1_cds_XP_042903450.1_9423	LOC107438409	GeneID:107438409	speckle-type POZ protein isoform X2	XP_042903450.1	complement(98753635..98754798)	CDS	3.28716e-30	180	363	[742, 1101]
N5.HOG0001627	OG0000001	gnl|BL_ORD_ID|1254 lcl|NC_092204.1_cds_XP_015927752.2_1255 [gene=LOC107454923] [db_xref=GeneID:107454923] [protein=speckle-type POZ protein] [protein_id=XP_015927752.2] [location=47518756..47519850] [gbkey=CDS]	gnl|BL_ORD_ID|1254 lcl|NC_092204.1_cds_XP_015927752.2_1255	LOC107454923	GeneID:107454923	speckle-type POZ protein	XP_015927752.2	47518756..47519850	CDS	1.9267e-31	222	564	[490, 1047]
N5.HOG0001633	OG0000001	gnl|BL_ORD_ID|18555 lcl|NC_092209.1_cds_XP_071038875.1_18556 [gene=LOC139425932] [db_xref=GeneID:139425932] [protein=TD and POZ domain-containing protein 3-like] [protein_id=XP_071038875.1] [location=complement(79389646..79390716)] [gbkey=CDS]	gnl|BL_ORD_ID|18555 lcl|NC_092209.1_cds_XP_071038875.1_18556	LOC139425932	GeneID:139425932	TD and POZ domain-containing protein 3-like	XP_071038875.1	complement(79389646..79390716)	CDS	7.47642e-33	210	639	[418, 1056]
N5.HOG0001635	OG0000001	gnl|BL_ORD_ID|27757 lcl|NC_092213.1_cds_XP_015909800.1_27758 [gene=LOC107441162] [db_xref=GeneID:107441162] [protein=speckle-type POZ protein] [protein_id=XP_015909800.1] [location=complement(18373983..18375602)] [gbkey=CDS]	gnl|BL_ORD_ID|27757 lcl|NC_092213.1_cds_XP_015909800.1_27758	LOC107441162	GeneID:107441162	speckle-type POZ protein	XP_015909800.1	complement(18373983..18375602)	CDS	4.15695e-16	117	237	[1057, 1293]
N5.HOG0001639	OG0000001	gnl|BL_ORD_ID|27757 lcl|NC_092213.1_cds_XP_015909800.1_27758 [gene=LOC107441162] [db_xref=GeneID:107441162] [protein=speckle-type POZ protein] [protein_id=XP_015909800.1] [location=complement(18373983..18375602)] [gbkey=CDS]	gnl|BL_ORD_ID|27757 lcl|NC_092213.1_cds_XP_015909800.1_27758	LOC107441162	GeneID:107441162	speckle-type POZ protein	XP_015909800.1	complement(18373983..18375602)	CDS	1.17298e-33	327	1221	[10, 1191]
N5.HOG0001643	OG0000002	gnl|BL_ORD_ID|7185 lcl|NC_092206.1_cds_XP_071035186.1_7186 [gene=LOC139425202] [db_xref=GeneID:139425202] [protein=uncharacterized protein] [protein_id=XP_071035186.1] [location=complement(join(25612799..25614212,25614838..25616942))] [gbkey=CDS]	gnl|BL_ORD_ID|7185 lcl|NC_092206.1_cds_XP_071035186.1_7186	LOC139425202	GeneID:139425202	uncharacterized protein	XP_071035186.1	complement(join(25612799..25614212,25614838..25616942))	CDS	2.8167e-30	228	567	[508, 1056]
N5.HOG0001875	OG0000002	gnl|BL_ORD_ID|18838 lcl|NC_092209.1_cds_XP_042908312.1_18839 [gene=LOC122271370] [db_xref=GeneID:122271370] [protein=uncharacterized protein] [protein_id=XP_042908312.1] [location=87844777..87846300] [gbkey=CDS]	gnl|BL_ORD_ID|18838 lcl|NC_092209.1_cds_XP_042908312.1_18839	LOC122271370	GeneID:122271370	uncharacterized protein	XP_042908312.1	87844777..87846300	CDS	0.0	900	1509	[7, 1512]
N5.HOG0002031	OG0000003	gnl|BL_ORD_ID|14006 lcl|NC_092208.1_cds_XP_015903799.1_14007 [gene=LOC107436551] [db_xref=GeneID:107436551] [protein=cuticle protein 10.9] [protein_id=XP_015903799.1] [location=join(42623694..42623699,42628261..42628308,42635016..42635414)] [gbkey=CDS]	gnl|BL_ORD_ID|14006 lcl|NC_092208.1_cds_XP_015903799.1_14007	LOC107436551	GeneID:107436551	cuticle protein 10.9	XP_015903799.1	join(42623694..42623699,42628261..42628308,42635016..42635414)	CDS	7.95339e-55	267	447	[1, 426]
N5.HOG0002033	OG0000003	gnl|BL_ORD_ID|14007 lcl|NC_092208.1_cds_XP_015903808.1_14008 [gene=LOC107436559] [db_xref=GeneID:107436559] [protein=cuticle protein 10.9-like] [protein_id=XP_015903808.1] [location=join(42650063..42650068,42654183..42654227,42656759..42657094)] [gbkey=CDS]	gnl|BL_ORD_ID|14007 lcl|NC_092208.1_cds_XP_015903808.1_14008	LOC107436559	GeneID:107436559	cuticle protein 10.9-like	XP_015903808.1	join(42650063..42650068,42654183..42654227,42656759..42657094)	CDS	3.92873e-46	258	360	[55, 384]
N5.HOG0002045	OG0000003	gnl|BL_ORD_ID|14010 lcl|NC_092208.1_cds_XP_042905561.1_14011 [gene=LOC122270807] [db_xref=GeneID:122270807] [protein=cuticle protein 10.9-like] [protein_id=XP_042905561.1] [location=join(42709052..42709057,42714391..42714444,42717006..42717374)] [gbkey=CDS]	gnl|BL_ORD_ID|14010 lcl|NC_092208.1_cds_XP_042905561.1_14011	LOC122270807	GeneID:122270807	cuticle protein 10.9-like	XP_042905561.1	join(42709052..42709057,42714391..42714444,42717006..42717374)	CDS	9.91887e-42	252	480	[1, 429]
N5.HOG0002047	OG0000003	gnl|BL_ORD_ID|14009 lcl|NC_092208.1_cds_XP_042905562.1_14010 [gene=LOC107436560] [db_xref=GeneID:107436560] [protein=cuticle protein 10.9] [protein_id=XP_042905562.1] [location=join(42695157..42695162,42699135..42699185,42703047..42703421)] [gbkey=CDS]	gnl|BL_ORD_ID|14009 lcl|NC_092208.1_cds_XP_042905562.1_14010	LOC107436560	GeneID:107436560	cuticle protein 10.9	XP_042905562.1	join(42695157..42695162,42699135..42699185,42703047..42703421)	CDS	5.09298e-51	255	351	[79, 429]
N5.HOG0002048	OG0000003	gnl|BL_ORD_ID|14008 lcl|NC_092208.1_cds_XP_042905563.1_14009 [gene=LOC122270808] [db_xref=GeneID:122270808] [protein=cuticle protein 10.9-like] [protein_id=XP_042905563.1] [location=join(42668648..42668653,42672294..42672347,42675367..42675756)] [gbkey=CDS]	gnl|BL_ORD_ID|14008 lcl|NC_092208.1_cds_XP_042905563.1_14009	LOC122270808	GeneID:122270808	cuticle protein 10.9-like	XP_042905563.1	join(42668648..42668653,42672294..42672347,42675367..42675756)	CDS	1.70086e-65	336	459	[1, 447]
N5.HOG0002053	OG0000003	gnl|BL_ORD_ID|14012 lcl|NC_092208.1_cds_XP_015903812.2_14013 [gene=LOC107436563] [db_xref=GeneID:107436563] [protein=adult-specific rigid cuticular protein 15.5] [protein_id=XP_015903812.2] [location=complement(join(42742958..42743431,42746705..42746761,42748792..42748800))] [gbkey=CDS]	gnl|BL_ORD_ID|14012 lcl|NC_092208.1_cds_XP_015903812.2_14013	LOC107436563	GeneID:107436563	adult-specific rigid cuticular protein 15.5	XP_015903812.2	complement(join(42742958..42743431,42746705..42746761,42748792..42748800))	CDS	5.69695e-39	186	306	[67, 372]
N5.HOG0002054	OG0000003	gnl|BL_ORD_ID|14001 lcl|NC_092208.1_cds_XP_071037460.1_14002 [gene=LOC107436550] [db_xref=GeneID:107436550] [protein=adult-specific rigid cuticular protein 15.7-like isoform X2] [protein_id=XP_071037460.1] [location=join(42500780..42500788,42504501..42504599,42505576..42505937,42508706..42508823)] [gbkey=CDS]	gnl|BL_ORD_ID|14001 lcl|NC_092208.1_cds_XP_071037460.1_14002	LOC107436550	GeneID:107436550	adult-specific rigid cuticular protein 15.7-like isoform X2	XP_071037460.1	join(42500780..42500788,42504501..42504599,42505576..42505937,42508706..42508823)	CDS	2.54985e-43	210	264	[103, 363]
N5.HOG0002055	OG0000003	gnl|BL_ORD_ID|14005 lcl|NC_092208.1_cds_XP_015903807.1_14006 [gene=LOC107436558] [db_xref=GeneID:107436558] [protein=cuticle protein 16.8] [protein_id=XP_015903807.1] [location=join(42597914..42597916,42601662..42601799,42602740..42603285)] [gbkey=CDS]	gnl|BL_ORD_ID|14005 lcl|NC_092208.1_cds_XP_015903807.1_14006	LOC107436558	GeneID:107436558	cuticle protein 16.8	XP_015903807.1	join(42597914..42597916,42601662..42601799,42602740..42603285)	CDS	2.0908e-87	453	699	[1, 687]
N5.HOG0002066	OG0000003	gnl|BL_ORD_ID|3330 lcl|NC_092205.1_cds_XP_071034204.1_3331 [gene=LOC107444918] [db_xref=GeneID:107444918] [protein=cuticle protein 14-like] [protein_id=XP_071034204.1] [location=join(6646343..6646369,6657715..6657765,6658738..6659205)] [gbkey=CDS]	gnl|BL_ORD_ID|3330 lcl|NC_092205.1_cds_XP_071034204.1_3331	LOC107444918	GeneID:107444918	cuticle protein 14-like	XP_071034204.1	join(6646343..6646369,6657715..6657765,6658738..6659205)	CDS	6.73759e-41	195	228	[103, 330]
N5.HOG0002072	OG0000003	gnl|BL_ORD_ID|23117 lcl|NC_092211.1_cds_XP_021003102.2_23118 [gene=LOC110283002] [db_xref=GeneID:110283002] [protein=uncharacterized protein] [protein_id=XP_021003102.2] [location=62851201..62852841] [gbkey=CDS]	gnl|BL_ORD_ID|23117 lcl|NC_092211.1_cds_XP_021003102.2_23118	LOC110283002	GeneID:110283002	uncharacterized protein	XP_021003102.2	62851201..62852841	CDS	6.51093e-31	183	273	[1303, 1575]
N5.HOG0002076	OG0000003	gnl|BL_ORD_ID|28251 lcl|NC_092213.1_cds_XP_015931190.1_28252 [gene=LOC107457534] [db_xref=GeneID:107457534] [protein=cuticle protein 10.9-like] [protein_id=XP_015931190.1] [location=33582418..33582837] [gbkey=CDS]	gnl|BL_ORD_ID|28251 lcl|NC_092213.1_cds_XP_015931190.1_28252	LOC107457534	GeneID:107457534	cuticle protein 10.9-like	XP_015931190.1	33582418..33582837	CDS	1.73601e-50	228	291	[118, 408]
N5.HOG0002078	OG0000003	gnl|BL_ORD_ID|28254 lcl|NC_092213.1_cds_XP_042894646.2_28255 [gene=LOC107457538] [db_xref=GeneID:107457538] [protein=cuticle protein 10.9-like] [protein_id=XP_042894646.2] [location=33599314..33599742] [gbkey=CDS]	gnl|BL_ORD_ID|28254 lcl|NC_092213.1_cds_XP_042894646.2_28255	LOC107457538	GeneID:107457538	cuticle protein 10.9-like	XP_042894646.2	33599314..33599742	CDS	2.06233e-30	144	258	[127, 384]
N5.HOG0002083	OG0000003	gnl|BL_ORD_ID|28249 lcl|NC_092213.1_cds_XP_042913477.2_28250 [gene=LOC122273484] [db_xref=GeneID:122273484] [protein=cuticle protein 10.9-like] [protein_id=XP_042913477.2] [location=33572009..33572428] [gbkey=CDS]	gnl|BL_ORD_ID|28249 lcl|NC_092213.1_cds_XP_042913477.2_28250	LOC122273484	GeneID:122273484	cuticle protein 10.9-like	XP_042913477.2	33572009..33572428	CDS	4.3139e-29	141	282	[112, 393]
N5.HOG0002108	OG0000003	gnl|BL_ORD_ID|5883 lcl|NC_092205.1_cds_XP_015920816.2_5884 [gene=LOC107449689] [db_xref=GeneID:107449689] [protein=uncharacterized protein] [protein_id=XP_015920816.2] [location=complement(join(88353290..88353465,88355701..88355983,88357388..88357588,88362623..88362637))] [gbkey=CDS]	gnl|BL_ORD_ID|5883 lcl|NC_092205.1_cds_XP_015920816.2_5884	LOC107449689	GeneID:107449689	uncharacterized protein	XP_015920816.2	complement(join(88353290..88353465,88355701..88355983,88357388..88357588,88362623..88362637))	CDS	1.03512e-62	273	285	[214, 498]
N5.HOG0002110	OG0000003	gnl|BL_ORD_ID|5883 lcl|NC_092205.1_cds_XP_015920816.2_5884 [gene=LOC107449689] [db_xref=GeneID:107449689] [protein=uncharacterized protein] [protein_id=XP_015920816.2] [location=complement(join(88353290..88353465,88355701..88355983,88357388..88357588,88362623..88362637))] [gbkey=CDS]	gnl|BL_ORD_ID|5883 lcl|NC_092205.1_cds_XP_015920816.2_5884	LOC107449689	GeneID:107449689	uncharacterized protein	XP_015920816.2	complement(join(88353290..88353465,88355701..88355983,88357388..88357588,88362623..88362637))	CDS	1.57658e-17	105	159	[337, 495]
N5.HOG0002114	OG0000003	gnl|BL_ORD_ID|11434 lcl|NC_092207.1_cds_XP_042908603.1_11435 [gene=LOC107437965] [db_xref=GeneID:107437965] [protein=cuticle protein 10.9] [protein_id=XP_042908603.1] [location=complement(join(57524134..57524268,57528844..57529023,57531683..57531778,57539277..57539288))] [gbkey=CDS]	gnl|BL_ORD_ID|11434 lcl|NC_092207.1_cds_XP_042908603.1_11435	LOC107437965	GeneID:107437965	cuticle protein 10.9	XP_042908603.1	complement(join(57524134..57524268,57528844..57529023,57531683..57531778,57539277..57539288))	CDS	6.10494e-56	249	282	[91, 372]
N5.HOG0002150	OG0000003	gnl|BL_ORD_ID|11674 lcl|NC_092207.1_cds_XP_015926280.2_11675 [gene=LOC107453828] [db_xref=GeneID:107453828] [protein=adult-specific rigid cuticular protein 15.7] [protein_id=XP_015926280.2] [location=join(63560890..63560895,63562416..63562502,63563782..63564288)] [gbkey=CDS]	gnl|BL_ORD_ID|11674 lcl|NC_092207.1_cds_XP_015926280.2_11675	LOC107453828	GeneID:107453828	adult-specific rigid cuticular protein 15.7	XP_015926280.2	join(63560890..63560895,63562416..63562502,63563782..63564288)	CDS	1.0028e-64	285	324	[1, 324]
N5.HOG0002151	OG0000003	gnl|BL_ORD_ID|11674 lcl|NC_092207.1_cds_XP_015926280.2_11675 [gene=LOC107453828] [db_xref=GeneID:107453828] [protein=adult-specific rigid cuticular protein 15.7] [protein_id=XP_015926280.2] [location=join(63560890..63560895,63562416..63562502,63563782..63564288)] [gbkey=CDS]	gnl|BL_ORD_ID|11674 lcl|NC_092207.1_cds_XP_015926280.2_11675	LOC107453828	GeneID:107453828	adult-specific rigid cuticular protein 15.7	XP_015926280.2	join(63560890..63560895,63562416..63562502,63563782..63564288)	CDS	6.55062e-58	261	300	[1, 300]
N5.HOG0002159	OG0000003	gnl|BL_ORD_ID|11681 lcl|NC_092207.1_cds_XP_015926493.1_11682 [gene=LOC107453979] [db_xref=GeneID:107453979] [protein=cuticle protein 14-like] [protein_id=XP_015926493.1] [location=join(63617592..63617597,63618672..63618791,63625261..63625713)] [gbkey=CDS]	gnl|BL_ORD_ID|11681 lcl|NC_092207.1_cds_XP_015926493.1_11682	LOC107453979	GeneID:107453979	cuticle protein 14-like	XP_015926493.1	join(63617592..63617597,63618672..63618791,63625261..63625713)	CDS	3.36036e-30	150	201	[73, 273]
