HOG	udiv_genes	LOC	txpt	GO_terms	Description
N5.HOG0012598	GJZJ01242926.1	129231468	XM_054865792	GO:0000122 [Name: negative regulation of transcription from RNA polymerase II promoter]; GO:0009952 [Name: anterior/posterior pattern specification]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0005634 [Name: nucleus]	homeobox protein abdominal-A homolog
N5.HOG0012758	jg10135.t1	129220099	XM_054854439	GO:0003729 [Name: mRNA binding]; GO:0033962 [Name: cytoplasmic mRNA processing body assembly]; GO:0000932 [Name: P-body]; GO:0034063 [Name: stress granule assembly]	protein LSM14 homolog A-like
N5.HOG0012879	GJZJ01123509.1	129226492	XM_054861103	GO:0016747 [Name: transferase activity, transferring acyl groups other than amino-acyl groups]	uncharacterized protein F36G3.2-like
N5.HOG0012880	jg3917.t1	129226492	XM_054861103	GO:0016747 [Name: transferase activity, transferring acyl groups other than amino-acyl groups]	uncharacterized protein F36G3.2-like
N5.HOG0013450	jg10808.t1	129220710	XM_054855140	GO:0005509 [Name: calcium ion binding]	multiple coagulation factor deficiency protein 2 homolog
N5.HOG0013778	GJZJ01158675.1	129224428	XM_054858878	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0013778	GJZJ01237940.1	129224698	XM_054859245	GO:0005737 [Name: cytoplasm]	SEC14-like protein 3
N5.HOG0013778	GJZJ01027899.1	129224553	XM_054859029	GO:0005737 [Name: cytoplasm]	SEC14-like protein 4
N5.HOG0013778	jg31325.t1	129224111	XM_054858520	GO:0005737 [Name: cytoplasm]	SEC14-like protein 4
N5.HOG0013778	GJZJ01089946.1	129224111	XM_054858520	GO:0005737 [Name: cytoplasm]	SEC14-like protein 4
N5.HOG0013778	GJZJ01183551.1	129224430	XM_054858884	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0013778	GJZJ01277421.1	129224409	XM_054858858	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0013878	jg27959.t1	129225262	XM_054859849	GO:0034625 [Name: fatty acid elongation, monounsaturated fatty acid]; GO:0042761 [Name: very long-chain fatty acid biosynthetic process]; GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0009922 [Name: fatty acid elongase activity]; GO:0030148 [Name: sphingolipid biosynthetic process]; GO:0019367 [Name: fatty acid elongation, saturated fatty acid]; GO:0034626 [Name: fatty acid elongation, polyunsaturated fatty acid]	elongation of very long chain fatty acids protein 7-like
N5.HOG0013878	GJZJ01219063.1	129225262	XM_054859849	GO:0034625 [Name: fatty acid elongation, monounsaturated fatty acid]; GO:0042761 [Name: very long-chain fatty acid biosynthetic process]; GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0009922 [Name: fatty acid elongase activity]; GO:0030148 [Name: sphingolipid biosynthetic process]; GO:0019367 [Name: fatty acid elongation, saturated fatty acid]; GO:0034626 [Name: fatty acid elongation, polyunsaturated fatty acid]	elongation of very long chain fatty acids protein 7-like
N5.HOG0014537	GJZJ01236417.1	129224200	XM_054858617	GO:0016020 [Name: membrane]; GO:0003676 [Name: nucleic acid binding]; GO:0004523 [Name: RNA-DNA hybrid ribonuclease activity]; GO:0005515 [Name: protein binding]	MAM and LDL-receptor class A domain-containing protein 2-like
N5.HOG0014540	GJZJ01137304.1	129224200	XM_054858617	GO:0016020 [Name: membrane]; GO:0003676 [Name: nucleic acid binding]; GO:0004523 [Name: RNA-DNA hybrid ribonuclease activity]; GO:0005515 [Name: protein binding]	MAM and LDL-receptor class A domain-containing protein 2-like
N5.HOG0014540	jg29325.t1	129224200	XM_054858617	GO:0016020 [Name: membrane]; GO:0003676 [Name: nucleic acid binding]; GO:0004523 [Name: RNA-DNA hybrid ribonuclease activity]; GO:0005515 [Name: protein binding]	MAM and LDL-receptor class A domain-containing protein 2-like
N5.HOG0014600	GJZJ01059139.1	129220204	XM_054854568	GO:0005783 [Name: endoplasmic reticulum]; GO:0005506 [Name: iron ion binding]; GO:0008610 [Name: lipid biosynthetic process]; GO:0016491 [Name: oxidoreductase activity]	alkylglycerol monooxygenase-like
N5.HOG0014759	jg13393.t1	129224200	XM_054858617	GO:0016020 [Name: membrane]; GO:0003676 [Name: nucleic acid binding]; GO:0004523 [Name: RNA-DNA hybrid ribonuclease activity]; GO:0005515 [Name: protein binding]	MAM and LDL-receptor class A domain-containing protein 2-like
N5.HOG0014759	GJZJ01033644.1	129224200	XM_054858617	GO:0016020 [Name: membrane]; GO:0003676 [Name: nucleic acid binding]; GO:0004523 [Name: RNA-DNA hybrid ribonuclease activity]; GO:0005515 [Name: protein binding]	MAM and LDL-receptor class A domain-containing protein 2-like
N5.HOG0014839	GJZJ01064778.1	129226052	XM_054860632	GO:0005737 [Name: cytoplasm]; GO:0003723 [Name: RNA binding]	heterogeneous nuclear ribonucleoprotein 27C-like
N5.HOG0015662	GJZJ01051675.1	129226908	XM_054861537	-	uncharacterized LOC129226908
N5.HOG0015662	GJZJ01217575.1	129229491	XM_054863809	-	uncharacterized LOC129229491
N5.HOG0015664	jg4424.t1	129226908	XM_054861537	-	uncharacterized LOC129226908
N5.HOG0015664	GJZJ01243856.1	129226908	XM_054861537	-	uncharacterized LOC129226908
N5.HOG0016317	GJZJ01235000.1	129218263	XM_054852490	GO:0016491 [Name: oxidoreductase activity]	amine oxidase [flavin-containing]-like
N5.HOG0016325	GJZJ01166405.1	129229511	XM_054863829	GO:0005654 [Name: nucleoplasm]; GO:0043484 [Name: regulation of RNA splicing]; GO:1990904 [Name: ribonucleoprotein complex]; GO:0003723 [Name: RNA binding]	uncharacterized LOC129229511
N5.HOG0016325	jg42889.t1	129229511	XM_054863829	GO:0005654 [Name: nucleoplasm]; GO:0043484 [Name: regulation of RNA splicing]; GO:1990904 [Name: ribonucleoprotein complex]; GO:0003723 [Name: RNA binding]	uncharacterized LOC129229511
N5.HOG0016329	jg6587.t1	129228219	XM_054862884	GO:0003723 [Name: RNA binding]; GO:0043484 [Name: regulation of RNA splicing]; GO:1990904 [Name: ribonucleoprotein complex]; GO:0005654 [Name: nucleoplasm]	RNA-binding protein 12-like
N5.HOG0016329	jg6588.t1	129228219	XM_054862884	GO:0003723 [Name: RNA binding]; GO:0043484 [Name: regulation of RNA splicing]; GO:1990904 [Name: ribonucleoprotein complex]; GO:0005654 [Name: nucleoplasm]	RNA-binding protein 12-like
N5.HOG0016329	GJZJ01192977.1	129228219	XM_054862884	GO:0003723 [Name: RNA binding]; GO:0043484 [Name: regulation of RNA splicing]; GO:1990904 [Name: ribonucleoprotein complex]; GO:0005654 [Name: nucleoplasm]	RNA-binding protein 12-like
N5.HOG0016329	jg6586.t1	129228219	XM_054862884	GO:0003723 [Name: RNA binding]; GO:0043484 [Name: regulation of RNA splicing]; GO:1990904 [Name: ribonucleoprotein complex]; GO:0005654 [Name: nucleoplasm]	RNA-binding protein 12-like
N5.HOG0016436	GJZJ01010798.1	129217759	XM_054852100	GO:0051015 [Name: actin filament binding]; GO:0007015 [Name: actin filament organization]; GO:0005884 [Name: actin filament]; GO:0006936 [Name: muscle contraction]	tropomyosin
N5.HOG0016441	GJZJ01008201.1	129217759	XM_054852100	GO:0051015 [Name: actin filament binding]; GO:0007015 [Name: actin filament organization]; GO:0005884 [Name: actin filament]; GO:0006936 [Name: muscle contraction]	tropomyosin
N5.HOG0016441	GJZJ01008201.1	129217759	XM_054852099	GO:0051015 [Name: actin filament binding]; GO:0007015 [Name: actin filament organization]; GO:0005884 [Name: actin filament]; GO:0006936 [Name: muscle contraction]	tropomyosin
N5.HOG0016453	GJZJ01008201.1	129217759	XM_054852100	GO:0051015 [Name: actin filament binding]; GO:0007015 [Name: actin filament organization]; GO:0005884 [Name: actin filament]; GO:0006936 [Name: muscle contraction]	tropomyosin
N5.HOG0016453	GJZJ01008201.1	129217759	XM_054852099	GO:0051015 [Name: actin filament binding]; GO:0007015 [Name: actin filament organization]; GO:0005884 [Name: actin filament]; GO:0006936 [Name: muscle contraction]	tropomyosin
N5.HOG0016564	GJZJ01243270.1	129232805	XM_054866906	GO:0003746 [Name: translation elongation factor activity]; GO:0003924 [Name: GTPase activity]; GO:0005525 [Name: GTP binding]; GO:0006412 [Name: translation]; GO:0006414 [Name: translational elongation]	elongation factor 1-alpha
N5.HOG0016573	GJZJ01155361.1	129232805	XM_054866906	GO:0003746 [Name: translation elongation factor activity]; GO:0003924 [Name: GTPase activity]; GO:0005525 [Name: GTP binding]; GO:0006412 [Name: translation]; GO:0006414 [Name: translational elongation]	elongation factor 1-alpha
N5.HOG0016901	GJZJ01088163.1	129229375	XR_008581091	GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]; GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006915 [Name: apoptotic process]	cellular tumor antigen p53-like
N5.HOG0017356	jg26022.t1	129232091	XM_054866336	GO:1990904 [Name: ribonucleoprotein complex]; GO:0005634 [Name: nucleus]; GO:0003729 [Name: mRNA binding]	heterogeneous nuclear ribonucleoprotein R-like
N5.HOG0018094	GJZJ01253366.1	129222514	XM_054857029	GO:0030246 [Name: carbohydrate binding]	galectin-4-like
N5.HOG0019851	GJZJ01278096.1	129218474	XM_054852754	GO:0005634 [Name: nucleus]; GO:0030274 [Name: LIM domain binding]; GO:0000122 [Name: negative regulation of transcription from RNA polymerase II promoter]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0005667 [Name: transcription factor complex]; GO:0007399 [Name: nervous system development]	LIM domain-binding protein 2-like
N5.HOG0019852	jg19216.t1	129218474	XM_054852754	GO:0005634 [Name: nucleus]; GO:0030274 [Name: LIM domain binding]; GO:0000122 [Name: negative regulation of transcription from RNA polymerase II promoter]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0005667 [Name: transcription factor complex]; GO:0007399 [Name: nervous system development]	LIM domain-binding protein 2-like
N5.HOG0021741	GJZJ01104937.1	129217412	XM_054851710	GO:0004303 [Name: estradiol 17-beta-dehydrogenase activity]; GO:0005739 [Name: mitochondrion]; GO:0008210 [Name: estrogen metabolic process]; GO:0006631 [Name: fatty acid metabolic process]; GO:0008209 [Name: androgen metabolic process]	3-hydroxyacyl-CoA dehydrogenase type-2-like
N5.HOG0022853	GJZJ01099175.1	129231295	XM_054865583	GO:0003712 [Name: transcription cofactor activity]; GO:0008134 [Name: transcription factor binding]; GO:0005634 [Name: nucleus]; GO:0045892 [Name: negative regulation of transcription, DNA-templated]	uncharacterized LOC129231295
N5.HOG0022855	GJZJ01169152.1	129231295	XM_054865583	GO:0003712 [Name: transcription cofactor activity]; GO:0008134 [Name: transcription factor binding]; GO:0005634 [Name: nucleus]; GO:0045892 [Name: negative regulation of transcription, DNA-templated]	uncharacterized LOC129231295
N5.HOG0022857	jg13400.t1	129231295	XM_054865583	GO:0003712 [Name: transcription cofactor activity]; GO:0008134 [Name: transcription factor binding]; GO:0005634 [Name: nucleus]; GO:0045892 [Name: negative regulation of transcription, DNA-templated]	uncharacterized LOC129231295
N5.HOG0022858	GJZJ01025098.1	129231295	XM_054865583	GO:0003712 [Name: transcription cofactor activity]; GO:0008134 [Name: transcription factor binding]; GO:0005634 [Name: nucleus]; GO:0045892 [Name: negative regulation of transcription, DNA-templated]	uncharacterized LOC129231295
N5.HOG0023363	jg36740.t1	129216734	XM_054850951	GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	PHD finger protein rhinoceros-like
N5.HOG0023560	GJZJ01203610.1	129227340	XM_054861883	GO:0006509 [Name: membrane protein ectodomain proteolysis]; GO:0004222 [Name: metalloendopeptidase activity]; GO:0005886 [Name: plasma membrane]; GO:0007219 [Name: Notch signaling pathway]	zinc-dependent metalloprotease kuz
N5.HOG0023560	jg5296.t1	129227340	XM_054861883	GO:0006509 [Name: membrane protein ectodomain proteolysis]; GO:0004222 [Name: metalloendopeptidase activity]; GO:0005886 [Name: plasma membrane]; GO:0007219 [Name: Notch signaling pathway]	zinc-dependent metalloprotease kuz
N5.HOG0023564	GJZJ01186162.1	129227340	XM_054861883	GO:0006509 [Name: membrane protein ectodomain proteolysis]; GO:0004222 [Name: metalloendopeptidase activity]; GO:0005886 [Name: plasma membrane]; GO:0007219 [Name: Notch signaling pathway]	zinc-dependent metalloprotease kuz
N5.HOG0023564	jg5296.t2	129227340	XM_054861883	GO:0006509 [Name: membrane protein ectodomain proteolysis]; GO:0004222 [Name: metalloendopeptidase activity]; GO:0005886 [Name: plasma membrane]; GO:0007219 [Name: Notch signaling pathway]	zinc-dependent metalloprotease kuz
N5.HOG0024645	GJZJ01273176.1	129234579	XM_054868601	GO:0003723 [Name: RNA binding]	KH domain-containing protein akap-1-like
N5.HOG0024824	GJZJ01074619.1	129223969	XM_054858353	GO:0006508 [Name: proteolysis]; GO:0004252 [Name: serine-type endopeptidase activity]	trypsin-1-like
N5.HOG0025064	GJZJ01069512.1	129221281	XM_054855738	GO:0043652 [Name: engulfment of apoptotic cell]; GO:0070782 [Name: phosphatidylserine exposure on apoptotic cell surface]; GO:0005886 [Name: plasma membrane]; GO:1902742 [Name: apoptotic process involved in development]	XK-related protein 6-like
N5.HOG0027246	jg40557.t1	129230682	XM_054865100	GO:0004888 [Name: transmembrane signaling receptor activity]; GO:0006955 [Name: immune response]; GO:0002224 [Name: toll-like receptor signaling pathway]; GO:0005515 [Name: protein binding]; GO:0016020 [Name: membrane]	protein toll-like
N5.HOG0027246	GJZJ01070278.1	129230682	XM_054865100	GO:0004888 [Name: transmembrane signaling receptor activity]; GO:0006955 [Name: immune response]; GO:0002224 [Name: toll-like receptor signaling pathway]; GO:0005515 [Name: protein binding]; GO:0016020 [Name: membrane]	protein toll-like
N5.HOG0027246	GJZJ01199263.1	129229907	XM_054864288	GO:0016020 [Name: membrane]; GO:0002224 [Name: toll-like receptor signaling pathway]; GO:0004888 [Name: transmembrane signaling receptor activity]; GO:0006955 [Name: immune response]	protein toll-like
N5.HOG0027246	jg44078.t1	129229907	XM_054864288	GO:0016020 [Name: membrane]; GO:0002224 [Name: toll-like receptor signaling pathway]; GO:0004888 [Name: transmembrane signaling receptor activity]; GO:0006955 [Name: immune response]	protein toll-like
N5.HOG0027833	jg12532.t1	129221128	XM_054855573	GO:0005847 [Name: mRNA cleavage and polyadenylation specificity factor complex]; GO:0003729 [Name: mRNA binding]; GO:0031124 [Name: mRNA 3'-end processing]	cleavage stimulation factor subunit 2-like
N5.HOG0028590	GJZJ01155173.1	129232560	XM_054866694	GO:0030246 [Name: carbohydrate binding]; GO:0000139 [Name: Golgi membrane]; GO:0006013 [Name: mannose metabolic process]; GO:0006491 [Name: N-glycan processing]; GO:0006517 [Name: protein deglycosylation]; GO:0004559 [Name: alpha-mannosidase activity]	alpha-mannosidase 2-like
N5.HOG0028593	jg45565.t1	129232560	XM_054866694	GO:0030246 [Name: carbohydrate binding]; GO:0000139 [Name: Golgi membrane]; GO:0006013 [Name: mannose metabolic process]; GO:0006491 [Name: N-glycan processing]; GO:0006517 [Name: protein deglycosylation]; GO:0004559 [Name: alpha-mannosidase activity]	alpha-mannosidase 2-like
N5.HOG0028630	GJZJ01136435.1	129219697	XM_054853980	GO:0005509 [Name: calcium ion binding]; GO:0047498 [Name: calcium-dependent phospholipase A2 activity]; GO:0006644 [Name: phospholipid metabolic process]; GO:0005543 [Name: phospholipid binding]; GO:0016042 [Name: lipid catabolic process]; GO:0050482 [Name: arachidonic acid secretion]	neutral phospholipase A2 3-like
N5.HOG0028853	jg10134.t1	129220099	XM_054854439	GO:0003729 [Name: mRNA binding]; GO:0033962 [Name: cytoplasmic mRNA processing body assembly]; GO:0000932 [Name: P-body]; GO:0034063 [Name: stress granule assembly]	protein LSM14 homolog A-like
N5.HOG0029011	jg4403.t1	129225751	XM_054860249	GO:0005911 [Name: cell-cell junction]; GO:0050839 [Name: cell adhesion molecule binding]; GO:0098609 [Name: cell-cell adhesion]	synaptogenesis protein syg-1-like
N5.HOG0029011	GJZJ01081760.1	129225751	XM_054860249	GO:0005911 [Name: cell-cell junction]; GO:0050839 [Name: cell adhesion molecule binding]; GO:0098609 [Name: cell-cell adhesion]	synaptogenesis protein syg-1-like
N5.HOG0029012	GJZJ01089674.1	129225751	XM_054860249	GO:0005911 [Name: cell-cell junction]; GO:0050839 [Name: cell adhesion molecule binding]; GO:0098609 [Name: cell-cell adhesion]	synaptogenesis protein syg-1-like
N5.HOG0029905	GJZJ01001531.1	129226039	XM_054860615	GO:0006814 [Name: sodium ion transport]	COMM domain-containing protein 3-like
N5.HOG0030357	jg35167.t1	129217262	XM_054851533	GO:0030838 [Name: positive regulation of actin filament polymerization]; GO:0051017 [Name: actin filament bundle assembly]; GO:0005515 [Name: protein binding]; GO:0005829 [Name: cytosol]; GO:0007009 [Name: plasma membrane organization]; GO:0051764 [Name: actin crosslink formation]; GO:0005654 [Name: nucleoplasm]	brain-specific angiogenesis inhibitor 1-associated protein 2-like
N5.HOG0030358	jg35168.t1	129217262	XM_054851533	GO:0030838 [Name: positive regulation of actin filament polymerization]; GO:0051017 [Name: actin filament bundle assembly]; GO:0005515 [Name: protein binding]; GO:0005829 [Name: cytosol]; GO:0007009 [Name: plasma membrane organization]; GO:0051764 [Name: actin crosslink formation]; GO:0005654 [Name: nucleoplasm]	brain-specific angiogenesis inhibitor 1-associated protein 2-like
N5.HOG0030685	jg8411.t1	129227393	XM_054861943	GO:0005737 [Name: cytoplasm]; GO:0004674 [Name: protein serine/threonine kinase activity]; GO:0006468 [Name: protein phosphorylation]; GO:0005524 [Name: ATP binding]; GO:0005634 [Name: nucleus]; GO:0030036 [Name: actin cytoskeleton organization]; GO:0005515 [Name: protein binding]	LIM domain kinase 1
N5.HOG0030685	GJZJ01119941.1	129227393	XM_054861943	GO:0005737 [Name: cytoplasm]; GO:0004674 [Name: protein serine/threonine kinase activity]; GO:0006468 [Name: protein phosphorylation]; GO:0005524 [Name: ATP binding]; GO:0005634 [Name: nucleus]; GO:0030036 [Name: actin cytoskeleton organization]; GO:0005515 [Name: protein binding]	LIM domain kinase 1
N5.HOG0030686	jg8413.t1	129227393	XM_054861943	GO:0005737 [Name: cytoplasm]; GO:0004674 [Name: protein serine/threonine kinase activity]; GO:0006468 [Name: protein phosphorylation]; GO:0005524 [Name: ATP binding]; GO:0005634 [Name: nucleus]; GO:0030036 [Name: actin cytoskeleton organization]; GO:0005515 [Name: protein binding]	LIM domain kinase 1
N5.HOG0030728	GJZJ01068339.1	129225340	XM_054859912	GO:0005739 [Name: mitochondrion]	protein NipSnap-like
N5.HOG0030905	GJZJ01156817.1	129230095	XM_054864490	GO:0005789 [Name: endoplasmic reticulum membrane]	ribosome-binding protein 1-like
N5.HOG0031616	GJZJ01167631.1	129229680	XM_054864038	-	uncharacterized LOC129229680
N5.HOG0031747	GJZJ01179775.1	129216914	XM_054851132	GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]; GO:0090575 [Name: RNA polymerase II transcription factor complex]; GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0046983 [Name: protein dimerization activity]	protein max-like
N5.HOG0032002	jg11898.t1	129220871	XM_054855304	GO:0005515 [Name: protein binding]; GO:0005829 [Name: cytosol]; GO:0022008 [Name: neurogenesis]	BTB/POZ domain-containing protein 6-like
N5.HOG0032002	GJZJ01142769.1	129226009	XM_054860583	GO:0005515 [Name: protein binding]; GO:0005829 [Name: cytosol]; GO:0022008 [Name: neurogenesis]; GO:0000932 [Name: P-body]	BTB/POZ domain-containing protein 3-like
N5.HOG0032070	jg3924.t1	129226426	XM_054861029	-	uncharacterized LOC129226426
N5.HOG0032070	jg24802.t1	129234629	XM_054868662	-	uncharacterized LOC129234629
N5.HOG0032070	GJZJ01147019.1	129234629	XM_054868662	-	uncharacterized LOC129234629
N5.HOG0032507	GJZJ01250834.1	129219754	XM_054854048	GO:0005576 [Name: extracellular region]; GO:0008061 [Name: chitin binding]	protein obstructor-E-like
N5.HOG0032508	jg11923.t1	129219754	XM_054854048	GO:0005576 [Name: extracellular region]; GO:0008061 [Name: chitin binding]	protein obstructor-E-like
N5.HOG0032631	GJZJ01197244.1	129233368	XM_054867410	-	uncharacterized LOC129233368
N5.HOG0032709	GJZJ01249830.1	129225281	XM_054859868	GO:0005515 [Name: protein binding]	protein phosphatase 1 regulatory subunit 37-like
N5.HOG0032710	jg31574.t1	129225281	XM_054859868	GO:0005515 [Name: protein binding]	protein phosphatase 1 regulatory subunit 37-like
N5.HOG0032713	GJZJ01024458.1	129225281	XM_054859868	GO:0005515 [Name: protein binding]	protein phosphatase 1 regulatory subunit 37-like
N5.HOG0033038	GJZJ01005251.1	129231365	XM_054865660	GO:0007155 [Name: cell adhesion]; GO:0031012 [Name: extracellular matrix]; GO:0050839 [Name: cell adhesion molecule binding]; GO:0030198 [Name: extracellular matrix organization]	fasciclin-1-like
N5.HOG0033039	GJZJ01090188.1	129231365	XM_054865660	GO:0007155 [Name: cell adhesion]; GO:0031012 [Name: extracellular matrix]; GO:0050839 [Name: cell adhesion molecule binding]; GO:0030198 [Name: extracellular matrix organization]	fasciclin-1-like
N5.HOG0034024	jg2562.t1	129227063	XM_054861707	GO:0009039 [Name: urease activity]; GO:0016151 [Name: nickel cation binding]; GO:0043419 [Name: urea catabolic process]; GO:0035550 [Name: urease complex]	urease subunit alpha-like
N5.HOG0034024	GJZJ01076812.1	129227063	XM_054861707	GO:0009039 [Name: urease activity]; GO:0016151 [Name: nickel cation binding]; GO:0043419 [Name: urea catabolic process]; GO:0035550 [Name: urease complex]	urease subunit alpha-like
N5.HOG0034025	GJZJ01063590.1	129233113	XM_054867176	GO:0005509 [Name: calcium ion binding]; GO:0006470 [Name: protein dephosphorylation]; GO:0019888 [Name: protein phosphatase regulator activity]; GO:0000159 [Name: protein phosphatase type 2A complex]	serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like
N5.HOG0034049	jg26641.t1	129233113	XM_054867176	GO:0005509 [Name: calcium ion binding]; GO:0006470 [Name: protein dephosphorylation]; GO:0019888 [Name: protein phosphatase regulator activity]; GO:0000159 [Name: protein phosphatase type 2A complex]	serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like
N5.HOG0034079	GJZJ01021980.1	129227739	XM_054862347	-	Actin-related protein 1
N5.HOG0034079	GJZJ01021980.1	129234279	XM_054868275	GO:0003712 [Name: transcription cofactor activity]; GO:0016592 [Name: mediator complex]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	mediator complex subunit 21
N5.HOG0034119	jg34129.t1	129235181	XM_054868875	GO:0042989 [Name: sequestering of actin monomers]; GO:0003785 [Name: actin monomer binding]; GO:0005938 [Name: cell cortex]	uncharacterized LOC129235181
N5.HOG0034231	GJZJ01159574.1	129216048	XM_054850192	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0008017 [Name: microtubule binding]	microtubule-associated tumor suppressor candidate 2 homolog
N5.HOG0034231	GJZJ01159574.1	129216048	XM_054850194	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0008017 [Name: microtubule binding]	microtubule-associated tumor suppressor candidate 2 homolog
N5.HOG0034236	GJZJ01159574.1	129216048	XM_054850192	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0008017 [Name: microtubule binding]	microtubule-associated tumor suppressor candidate 2 homolog
N5.HOG0034236	GJZJ01159574.1	129216048	XM_054850194	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0008017 [Name: microtubule binding]	microtubule-associated tumor suppressor candidate 2 homolog
N5.HOG0034948	jg25081.t1	129234672	XM_054868715	-	basigin-like
N5.HOG0034950	GJZJ01192351.1	129224260	XM_054858687	-	hemicentin-1-like
N5.HOG0034984	GJZJ01247404.1	129224197	XM_054858615	GO:0005515 [Name: protein binding]	myotrophin-like
N5.HOG0035166	GJZJ01139841.1	129228157	XM_054862810	GO:0005634 [Name: nucleus]; GO:0008270 [Name: zinc ion binding]; GO:0009452 [Name: 7-methylguanosine RNA capping]; GO:0071164 [Name: RNA trimethylguanosine synthase activity]; GO:0036261 [Name: 7-methylguanosine cap hypermethylation]	trimethylguanosine synthase-like
N5.HOG0035166	jg1158.t1	129232097	XM_054866334	GO:0036261 [Name: 7-methylguanosine cap hypermethylation]; GO:0008270 [Name: zinc ion binding]; GO:0009452 [Name: 7-methylguanosine RNA capping]; GO:0005634 [Name: nucleus]; GO:0071164 [Name: RNA trimethylguanosine synthase activity]	trimethylguanosine synthase-like
